supplier_gstin,supplier_name,invoice_no,invoice_date,taxable_value,tax_amount,filing_status
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2041,2024-05-30,53281.00,9590.58,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2042,2024-07-06,108625.00,19552.50,Filed
27ZZ1036A1Z2,Imperial Paints,SI036/2043,2024-12-06,213866.00,38495.88,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2044,2024-06-01,154346.00,27782.28,Filed
36ZZ1035A1Z5,Hitech Instruments,SI035/2045,2024-08-19,176252.00,31725.36,Filed
36ZZ1005A1Z5,Eastern Electricals,SI005/2046,2024-09-08,169614.00,30530.52,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2048,2024-06-26,170367.00,30666.06,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2049,2025-01-13,124163.00,22349.34,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2050,2024-05-07,190913.00,34364.34,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2051,2024-08-11,92367.00,16626.06,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2052,2024-10-19,20513.00,3692.34,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2053,2024-09-18,176316.00,31736.88,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2054,2024-04-16,78482.00,14126.76,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2055,2025-03-31,38818.00,6987.24,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2056,2025-01-16,53658.00,9658.44,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2057,2024-10-28,166484.00,29967.12,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2058,2024-10-15,163428.00,29417.04,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2059,2024-08-09,35489.00,6388.02,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2060,2025-01-19,82902.00,14922.36,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2061,2024-04-06,127614.90,22970.68,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2062,2024-05-27,204304.00,36774.72,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2063,2024-11-18,53831.00,9689.58,Filed
27ZZ1018A1Z6,Quality Fasteners,SI018/2064,2024-11-01,19885.00,3579.30,Filed
29ZZ1001A1Z7,Agarwal Steel Suppliers,SI001/2065,2024-12-21,180415.00,32474.70,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2066,2024-12-07,208406.00,37513.08,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2067,2025-03-08,109513.00,19712.34,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2068,2024-05-29,156117.00,28101.06,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2069,2024-07-25,146008.00,26281.44,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2070,2024-08-09,116555.00,20979.90,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2071,2025-02-12,38429.00,6917.22,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2072,2024-07-27,134043.00,24127.74,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2073,2024-10-18,37343.00,6721.74,Filed
27ZZ1018A1Z6,Quality Fasteners,SI018/2074,2025-01-26,58464.00,10523.52,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2075,2024-07-22,9048.00,1628.64,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2076,2024-06-19,59404.00,10692.72,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2077,2025-03-24,197941.00,35629.38,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2078,2024-12-22,72739.00,13093.02,Filed
07ZZ1009A1Z3,Indus Metal Works,SI009/2079,2024-08-01,131839.00,23731.02,Filed
27ZZ1036A1Z2,Imperial Paints,SI036/2080,2024-06-15,49640.00,8935.20,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2081,2024-06-24,134415.00,24194.70,Filed
27ZZ1006A1Z2,Fortune Chemicals,SI006/2082,2024-07-25,87046.00,15668.28,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2083,2024-10-02,60919.00,10965.42,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2084,2024-04-26,237502.00,42750.36,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2085,2024-11-02,126626.00,22792.68,Filed
24ZZ1040A1Z0,Mount Cables,SI040/2086,2025-03-13,225998.00,40679.64,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2087,2024-12-29,24795.00,4463.10,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2089,2025-01-27,6919.00,1245.42,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2090,2024-10-10,143948.00,25910.64,Filed
36ZZ1005A1Z5,Eastern Electricals,SI005/2091,2024-07-04,137375.00,24727.50,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2092,2024-09-11,40654.00,7317.72,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2093,2024-10-29,175635.00,31614.30,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2094,2025-01-09,154326.00,27778.68,Filed
29ZZ1001A1Z7,Agarwal Steel Suppliers,SI001/2095,2024-06-02,118412.00,21314.16,Filed
24ZZ1040A1Z0,Mount Cables,SI040/2096,2024-04-14,56703.00,10206.54,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2097,2024-06-30,235725.00,42430.50,Filed
07ZZ1015A1Z5,Noble Printing Press,SI015/2098,2024-11-10,82601.00,14868.18,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2099,2024-08-06,127818.00,23007.24,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2100,2024-07-23,38529.00,6935.22,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2101,2024-08-14,2759.00,496.62,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2102,2025-02-24,59883.00,10778.94,Filed
07ZZ1009A1Z3,Indus Metal Works,SI009/2103,2024-07-26,156103.00,28098.54,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2104,2025-02-21,107859.00,19414.62,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2105,2024-08-11,30557.00,5500.26,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2106,2025-02-27,118011.00,21241.98,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2107,2024-07-18,81248.00,14624.64,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2108,2024-11-24,224759.00,40456.62,Filed
27ZZ1018A1Z6,Quality Fasteners,SI018/2109,2024-11-18,94669.00,17040.42,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2110,2024-05-01,85701.00,15426.18,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2111,2024-07-09,97436.00,17538.48,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2112,2024-12-16,139703.00,25146.54,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2113,2024-05-21,48009.00,8641.62,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2114,2024-12-15,28441.00,5119.38,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2115,2024-12-25,10744.00,1933.92,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2116,2025-03-08,198302.00,35694.36,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2117,2024-06-08,187645.00,33776.10,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2118,2024-06-02,88769.00,15978.42,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2119,2024-12-24,140901.00,25362.18,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2120,2024-04-20,120924.00,21766.32,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2121,2024-08-03,67725.00,12190.50,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2122,2024-09-01,25937.00,4668.66,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2123,2024-05-16,175395.00,31571.10,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2124,2024-06-01,42916.00,7724.88,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2125,2024-12-25,156829.00,28229.22,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2126,2024-11-08,178296.00,32093.28,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2127,2025-01-20,131157.00,23608.26,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2128,2024-10-14,74559.00,13420.62,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2129,2024-06-30,61406.00,11053.08,Filed
33ZZ1002A1Z4,Balaji Packaging Co,SI002/2130,2024-09-28,81916.50,14744.97,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2131,2024-05-27,233660.00,42058.80,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2132,2024-12-09,127540.00,22957.20,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2133,2024-06-20,119312.00,21476.16,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2134,2025-03-26,101804.00,18324.72,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2135,2024-08-01,151349.00,27242.82,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2136,2025-03-15,167875.00,30217.50,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2137,2024-10-31,164034.00,29526.12,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2138,2024-04-27,100590.00,18106.20,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2139,2024-11-23,56070.00,10092.60,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2140,2025-01-23,201247.00,36224.46,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2141,2024-08-26,42007.00,7561.26,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2142,2024-06-28,130149.00,23426.82,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2143,2025-02-15,100673.00,18121.14,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2144,2024-10-29,119746.00,21554.28,Filed
33ZZ1032A1Z4,Everest Scaffolding,SI032/2145,2024-07-26,124944.00,22489.92,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2146,2025-02-08,225102.00,40518.36,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2147,2024-10-18,31941.00,5749.38,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2148,2024-05-19,141952.00,25551.36,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2149,2024-04-05,25463.00,4583.34,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2150,2025-03-09,172228.00,31001.04,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2151,2025-03-20,136852.00,24633.36,Filed
36ZZ1011A1Z7,Kaveri Transport Co,SI011/2152,2025-02-16,207057.00,37270.26,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2153,2024-05-05,212619.00,38271.42,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2154,2024-08-17,68257.00,12286.26,Filed
33ZZ1032A1Z4,Everest Scaffolding,SI032/2155,2024-07-20,213043.00,38347.74,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2156,2024-08-21,107125.00,19282.50,Filed
29ZZ1001A1Z7,Agarwal Steel Suppliers,SI001/2157,2024-08-03,153148.00,27566.64,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2158,2024-11-14,54631.00,9833.58,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2159,2024-05-20,73661.00,13258.98,Filed
36ZZ1029A1Z3,Bharat Lubricants,SI029/2160,2025-03-02,88281.00,15890.58,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2161,2024-08-24,122375.00,22027.50,Filed
36ZZ1005A1Z5,Eastern Electricals,SI005/2162,2024-10-25,158642.00,28555.56,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2163,2024-06-01,43982.00,7916.76,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2164,2024-10-21,67300.00,12114.00,Filed
07ZZ1009A1Z3,Indus Metal Works,SI009/2165,2025-01-07,217362.00,39125.16,Filed
27ZZ1018A1Z6,Quality Fasteners,SI018/2166,2025-03-30,102589.00,18466.02,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2167,2025-01-03,218793.00,39382.74,Filed
33ZZ1002A1Z4,Balaji Packaging Co,SI002/2168,2024-10-18,192965.00,34733.70,Filed
24ZZ1010A1Z0,Jaipur Textiles House,SI010/2169,2024-06-09,2112.00,380.16,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2170,2024-06-09,128366.00,23105.88,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2171,2024-06-06,35236.00,6342.48,Filed
27ZZ1012A1Z4,Lakshmi Industrial Stores,SI012/2172,2025-03-23,85941.00,15469.38,Filed
29ZZ1019A1Z3,Royal Stationers,SI019/2173,2024-11-17,134204.00,24156.72,Filed
27ZZ1006A1Z2,Fortune Chemicals,SI006/2174,2024-12-08,232281.00,41810.58,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2175,2024-07-23,49289.00,8872.02,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2176,2024-07-14,182324.00,32818.32,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2177,2024-08-20,164060.00,29530.80,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2178,2025-02-18,213647.00,38456.46,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2179,2024-07-13,222018.00,39963.24,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2180,2025-03-19,38101.00,6858.18,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2181,2024-10-12,108530.00,19535.40,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2182,2024-04-30,173610.00,31249.80,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2183,2024-10-30,119525.00,21514.50,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2184,2024-05-03,88700.00,15966.00,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2185,2024-12-19,26119.00,4701.42,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2186,2024-11-06,197881.00,35618.58,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2187,2025-01-26,160949.00,28970.82,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2188,2024-09-11,180637.00,32514.66,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2189,2024-07-03,50896.00,9161.28,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2190,2024-08-10,73284.00,13191.12,Filed
07ZZ1045A1Z5,Silverline Pipes,SI045/2191,2024-11-29,153995.00,27719.10,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2192,2024-05-04,225367.00,40566.06,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2193,2025-03-09,110697.00,19925.46,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2194,2024-06-03,14024.00,2524.32,Filed
24ZZ1010A1Z0,Jaipur Textiles House,SI010/2195,2024-05-27,100141.00,18025.38,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2196,2025-02-24,114480.00,20606.40,Filed
29ZZ1001A1Z7,Agarwal Steel Suppliers,SI001/2197,2025-01-11,85652.00,15417.36,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2198,2024-10-11,132576.00,23863.68,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2199,2024-04-15,27825.00,5008.50,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2200,2024-07-23,6907.00,1243.26,Filed
36ZZ1035A1Z5,Hitech Instruments,SI035/2201,2025-03-21,10958.00,1972.44,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2202,2024-10-02,108046.00,19448.28,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2203,2024-09-20,8940.00,1609.20,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2204,2024-08-17,124334.00,22380.12,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2205,2024-06-27,239685.00,43143.30,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2206,2024-04-28,239711.00,43147.98,Filed
36ZZ1029A1Z3,Bharat Lubricants,SI029/2207,2024-08-12,74901.00,13482.18,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2208,2024-10-31,14500.00,2610.00,Filed
33ZZ1002A1Z4,Balaji Packaging Co,SI002/2209,2024-08-07,57193.00,10294.74,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2210,2024-11-30,80054.00,14409.72,Filed
29ZZ1019A1Z3,Royal Stationers,SI019/2211,2024-07-05,141660.00,25498.80,Filed
24ZZ1040A1Z0,Mount Cables,SI040/2212,2024-05-28,237114.00,42680.52,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2213,2024-05-08,190781.00,34340.58,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2214,2024-05-25,35594.00,6406.92,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2215,2024-06-14,72506.00,13051.08,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2216,2025-03-17,216257.00,38926.26,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2217,2024-11-21,15583.00,2804.94,Filed
29ZZ1043A1Z1,Prakash Machinery,SI043/2218,2024-06-06,138153.00,24867.54,Filed
29ZZ1001A1Z7,Agarwal Steel Suppliers,SI001/2219,2024-09-28,157339.00,28321.02,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2220,2025-01-23,72640.00,13075.20,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2221,2024-04-13,42421.00,7635.78,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2222,2024-12-29,160033.00,28805.94,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2223,2024-05-10,165670.00,29820.60,Filed
36ZZ1017A1Z9,Pioneer Plastics,SI017/2224,2024-07-20,125911.00,22663.98,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2225,2025-03-23,39006.00,7021.08,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2226,2024-11-03,69221.00,12459.78,Filed
07ZZ1027A1Z9,Zenith Abrasives,SI027/2227,2024-04-18,181824.00,32728.32,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2228,2024-09-01,51832.00,9329.76,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2229,2024-07-10,114179.00,20552.22,Filed
36ZZ1035A1Z5,Hitech Instruments,SI035/2230,2024-09-11,211305.00,38034.90,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2231,2024-04-17,56145.00,10106.10,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2232,2024-06-23,137727.00,24790.86,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2233,2024-10-30,11013.00,1982.34,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2234,2024-08-21,62011.00,11161.98,Filed
27ZZ1030A1Z0,Crescent Ceramics,SI030/2235,2024-04-15,163190.00,29374.20,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2236,2024-08-26,222520.00,40053.60,Filed
07ZZ1015A1Z5,Noble Printing Press,SI015/2237,2025-02-10,30668.00,5520.24,Filed
36ZZ1029A1Z3,Bharat Lubricants,SI029/2238,2025-03-11,114291.00,20572.38,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2239,2025-03-10,55283.00,9950.94,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2240,2024-10-27,94129.00,16943.22,Filed
29ZZ1031A1Z7,Divya Safety Equipments,SI031/2241,2024-04-07,179176.00,32251.68,Filed
27ZZ1036A1Z2,Imperial Paints,SI036/2242,2024-11-10,52610.00,9469.80,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2243,2024-12-02,157368.00,28326.24,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2244,2024-05-16,3695.00,665.10,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2245,2024-04-19,1774.00,319.32,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2246,2024-06-03,135859.00,24454.62,Filed
07ZZ1039A1Z3,Liberty Rubber Works,SI039/2247,2025-01-30,168214.00,30278.52,Filed
29ZZ1019A1Z3,Royal Stationers,SI019/2248,2025-02-27,62555.00,11259.90,Filed
24ZZ1022A1Z4,Universal Bearings,SI022/2249,2024-06-29,165408.00,29773.44,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2250,2025-02-28,203088.00,36555.84,Filed
27ZZ1012A1Z4,Lakshmi Industrial Stores,SI012/2251,2024-09-30,107357.00,19324.26,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2252,2025-01-23,139123.00,25042.14,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2253,2024-10-20,211262.00,38027.16,Filed
07ZZ1009A1Z3,Indus Metal Works,SI009/2254,2024-06-26,76657.00,13798.26,Filed
29ZZ1037A1Z9,Jyoti Electrodes,SI037/2255,2024-07-25,176761.00,31816.98,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2256,2024-08-31,60427.00,10876.86,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2257,2024-08-24,3587.00,645.66,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2258,2025-02-07,220281.00,39650.58,Filed
27ZZ1024A1Z8,Western Freight Lines,SI024/2259,2025-01-20,198073.00,35653.14,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2260,2024-06-24,225375.00,40567.50,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2261,2024-04-01,82299.00,14813.82,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2262,2024-08-18,209582.00,37724.76,Filed
24ZZ1034A1Z8,Green Valley Agro,SI034/2263,2024-12-09,83802.00,15084.36,Filed
07ZZ1009A1Z3,Indus Metal Works,SI009/2264,2024-04-15,80502.00,14490.36,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2265,2024-11-18,239361.00,43084.98,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2266,2024-12-16,29478.00,5306.04,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2267,2025-02-06,104884.00,18879.12,Filed
24ZZ1028A1Z6,Anand Auto Parts,SI028/2268,2024-05-04,202755.00,36495.90,Filed
33ZZ1014A1Z8,Shree Ram Traders,SI014/2269,2024-10-05,205749.00,37034.82,Filed
07ZZ1003A1Z1,Chennai Polymers Pvt Ltd,SI003/2270,2024-11-14,17044.00,3067.92,Filed
27ZZ1012A1Z4,Lakshmi Industrial Stores,SI012/2271,2024-07-13,212938.00,38328.84,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2272,2024-10-31,207097.00,37277.46,Filed
33ZZ1038A1Z6,Krishna Cement Agency,SI038/2273,2024-05-31,136061.00,24490.98,Filed
29ZZ1025A1Z5,Xpress Couriers,SI025/2274,2025-03-28,13122.00,2361.96,Filed
27ZZ1018A1Z6,Quality Fasteners,SI018/2275,2024-10-31,49089.00,8836.02,Filed
