date,narration,reference,debit,credit,balance
2024-05-09,UPI/NEFT CR UTR5414 CUSTOMER 027 RETAI,UTR5414,,287536.50,6226312.64
2024-05-10,NEFT DR NEFT5059 CHENNAI POLYMERS P,NEFT5059,280252.36,,5946060.28
2024-05-11,NEFT DR NEFT5039 YAMUNA ENTERPRISES,NEFT5039,92608.76,,5853451.52
2024-05-11,UPI/NEFT CR UTR5455 CUSTOMER 023 RETAI,UTR5455,,373366.16,6226817.68
2024-05-12,UPI/NEFT CR UTR5442 CUSTOMER 023 RETAI,UTR5442,,54038.10,6280855.78
2024-05-13,UPI/NEFT CR UTR5448 CUSTOMER 011 RETAI,UTR5448,,401423.02,6682278.80
2024-05-14,UPI/NEFT CR UTR5208 CUSTOMER 017 RETAI,UTR5208,,330395.28,7012674.08
2024-05-14,UPI/NEFT CR UTR5238 CUSTOMER 002 RETAI,UTR5238,,229108.80,7241782.88
2024-05-15,NEFT DR NEFT5119 SHREE RAM TRADERS,NEFT5119,204859.80,,7036923.08
2024-05-16,NEFT DR NEFT5135 DECCAN LOGISTICS,NEFT5135,282858.98,,6754064.10
2024-05-16,NEFT DR NEFT5153 CRESCENT CERAMICS,NEFT5153,192564.20,,6561499.90
2024-05-18,UPI/NEFT CR UTR5247 CUSTOMER 020 RETAI,UTR5247,,200568.14,6762068.04
2024-05-19,NEFT DR NEFT5126 GREEN VALLEY AGRO,NEFT5126,265933.06,,6496134.98
2024-05-20,NEFT DR NEFT5068 MOUNT CABLES,NEFT5068,66909.54,,6429225.44
2024-05-22,NEFT DR NEFT5139 VENUS ADHESIVES,NEFT5139,225121.58,,6204103.86
2024-05-22,UPI/NEFT CR UTR5369 CUSTOMER 028 RETAI,UTR5369,,34826.52,6238930.38
2024-05-23,NEFT DR NEFT5143 KRISHNA CEMENT AGE,NEFT5143,50056.78,,6188873.60
2024-05-23,NEFT DR NEFT5182 IMPERIAL PAINTS,NEFT5182,238493.34,,5950380.26
2024-05-23,UPI/NEFT CR UTR5214 CUSTOMER 011 RETAI,UTR5214,,37017.78,5987398.04
2024-05-23,UPI/NEFT CR UTR5226 CUSTOMER 002 RETAI,UTR5226,,338879.48,6326277.52
2024-05-24,UPI/NEFT CR UTR5322 CUSTOMER 018 RETAI,UTR5322,,125586.22,6451863.74
2024-05-26,UPI/NEFT CR UTR5452 CUSTOMER 019 RETAI,UTR5452,,317176.92,6769040.66
2024-05-27,NEFT DR NEFT5035 PRAKASH MACHINERY,NEFT5035,225277.34,,6543763.32
2024-05-27,NEFT DR NEFT5082 CRESCENT CERAMICS,NEFT5082,142690.32,,6401073.00
2024-05-27,UPI/NEFT CR UTR5303 CUSTOMER 011 RETAI,UTR5303,,305400.52,6706473.52
2024-05-27,UPI/NEFT CR UTR5436 CUSTOMER 002 RETAI,UTR5436,,279583.30,6986056.82
2024-05-28,UPI/NEFT CR UTR5299 CUSTOMER 018 RETAI,UTR5299,,264441.54,7250498.36
2024-05-28,UPI/NEFT CR UTR5451 CUSTOMER 008 RETAI,UTR5451,,338945.56,7589443.92
2024-05-29,UPI/NEFT CR UTR5392 CUSTOMER 003 RETAI,UTR5392,,207158.44,7796602.36
2024-05-30,NEFT DR NEFT5076 VENUS ADHESIVES,NEFT5076,101127.18,,7695475.18
2024-05-30,UPI/NEFT CR UTR5431 CUSTOMER 007 RETAI,UTR5431,,297538.18,7993013.36
2024-05-31,UPI/NEFT CR UTR5264 CUSTOMER 007 RETAI,UTR5264,,442233.32,8435246.68
2024-05-31,UPI/NEFT CR UTR5373 CUSTOMER 016 RETAI,UTR5373,,39955.98,8475202.66
2024-06-01,NEFT DR NEFT5121 PRAKASH MACHINERY,NEFT5121,104666.00,,8370536.66
2024-06-02,NEFT DR NEFT5027 EVEREST SCAFFOLDIN,NEFT5027,177456.66,,8193080.00
2024-06-02,UPI/NEFT CR UTR5304 CUSTOMER 001 RETAI,UTR5304,,364273.08,8557353.08
2024-06-03,NEFT DR NEFT5085 NATIONAL WEIGHBRID,NEFT5085,206966.10,,8350386.98
2024-06-08,NEFT DR NEFT5009 JYOTI ELECTRODES,NEFT5009,69916.18,,8280470.80
2024-06-08,NEFT DR NEFT5043 PIONEER PLASTICS,NEFT5043,241078.72,,8039392.08
2024-06-09,NEFT DR NEFT5020 SUNRISE SOLVENTS,NEFT5020,103009.28,,7936382.80
2024-06-09,NEFT DR NEFT5103 MADRAS HARDWARE MA,NEFT5103,250890.42,,7685492.38
2024-06-09,NEFT DR NEFT5145 FALCON SECURITY SE,NEFT5145,195490.60,,7490001.78
2024-06-11,NEFT DR NEFT5128 JAIPUR TEXTILES HO,NEFT5128,118166.38,,7371835.40
2024-06-13,NEFT DR NEFT5140 DIVYA SAFETY EQUIP,NEFT5140,42000.92,,7329834.48
2024-06-13,UPI/NEFT CR UTR5321 CUSTOMER 010 RETAI,UTR5321,,178947.00,7508781.48
2024-06-13,UPI/NEFT CR UTR5335 CUSTOMER 021 RETAI,UTR5335,,406122.96,7914904.44
2024-06-14,UPI/NEFT CR UTR5456 CUSTOMER 010 RETAI,UTR5456,,148486.48,8063390.92
2024-06-15,NEFT DR NEFT5159 VENUS ADHESIVES,NEFT5159,4360.10,,8059030.82
2024-06-15,UPI/NEFT CR UTR5420 CUSTOMER 017 RETAI,UTR5420,,66372.64,8125403.46
2024-06-16,UPI/NEFT CR UTR5372 CUSTOMER 021 RETAI,UTR5372,,143674.44,8269077.90
2024-06-17,UPI/NEFT CR UTR5357 CUSTOMER 007 RETAI,UTR5357,,332625.48,8601703.38
2024-06-17,UPI/NEFT CR UTR5441 CUSTOMER 012 RETAI,UTR5441,,409825.80,9011529.18
2024-06-18,NEFT DR NEFT5029 DIVYA SAFETY EQUIP,NEFT5029,62871.58,,8948657.60
2024-06-19,NEFT DR NEFT5138 MOUNT CABLES,NEFT5138,279794.52,,8668863.08
2024-06-19,UPI/NEFT CR UTR5438 CUSTOMER 020 RETAI,UTR5438,,175306.70,8844169.78
2024-06-20,NEFT DR NEFT5010 CRESCENT CERAMICS,NEFT5010,9560.36,,8834609.42
2024-06-20,UPI/NEFT CR UTR5454 CUSTOMER 006 RETAI,UTR5454,,106428.92,8941038.34
2024-06-21,NEFT DR NEFT5000 ANAND AUTO PARTS,NEFT5000,186685.44,,8754352.90
2024-06-21,NEFT DR NEFT5127 ORIENT GLASS HOUSE,NEFT5127,16548.32,,8737804.58
2024-06-21,UPI/NEFT CR UTR5347 CUSTOMER 014 RETAI,UTR5347,,245869.52,8983674.10
2024-06-22,NEFT DR NEFT5032 NATIONAL WEIGHBRID,NEFT5032,182128.28,,8801545.82
2024-06-22,NEFT DR NEFT5109 MADRAS HARDWARE MA,NEFT5109,51898.76,,8749647.06
2024-06-22,NEFT DR NEFT5161 VENUS ADHESIVES,NEFT5161,160313.62,,8589333.44
2024-06-23,NEFT DR NEFT5067 AGARWAL STEEL SUPP,NEFT5067,139726.16,,8449607.28
2024-06-23,NEFT DR NEFT5079 GREEN VALLEY AGRO,NEFT5079,56650.62,,8392956.66
2024-06-28,UPI/NEFT CR UTR5286 CUSTOMER 015 RETAI,UTR5286,,123764.30,8516720.96
2024-06-29,NEFT DR NEFT5179 KRISHNA CEMENT AGE,NEFT5179,160551.98,,8356168.98
2024-06-29,UPI/NEFT CR UTR5246 CUSTOMER 015 RETAI,UTR5246,,427950.60,8784119.58
2024-06-29,UPI/NEFT CR UTR5433 CUSTOMER 011 RETAI,UTR5433,,121235.56,8905355.14
2024-06-30,BANK CHARGES QTR1,CHG20240630,2360.00,,8902995.14
2024-06-30,NEFT DR NEFT5113 NATIONAL WEIGHBRID,NEFT5113,41578.48,,8861416.66
2024-06-30,UPI/NEFT CR UTR5228 CUSTOMER 004 RETAI,UTR5228,,328891.96,9190308.62
2024-07-01,NEFT DR NEFT5024 OMKAR ENGINEERING,NEFT5024,173900.14,,9016408.48
2024-07-01,NEFT DR NEFT5054 XPRESS COURIERS,NEFT5054,70096.72,,8946311.76
2024-07-01,UPI/NEFT CR UTR5423 CUSTOMER 030 RETAI,UTR5423,,314678.86,9260990.62
2024-07-02,NEFT DR NEFT5169 GANGA TRADERS,NEFT5169,265942.50,,8995048.12
2024-07-02,UPI/NEFT CR UTR5307 CUSTOMER 025 RETAI,UTR5307,,425149.28,9420197.40
2024-07-03,NEFT DR NEFT5028 XPRESS COURIERS,NEFT5028,167552.92,,9252644.48
2024-07-03,NEFT DR NEFT5090 DIVYA SAFETY EQUIP,NEFT5090,275718.80,,8976925.68
2024-07-03,UPI/NEFT CR UTR5266 CUSTOMER 003 RETAI,UTR5266,,296862.04,9273787.72
2024-07-03,UPI/NEFT CR UTR5353 CUSTOMER 015 RETAI,UTR5353,,157383.68,9431171.40
2024-07-04,UPI/NEFT CR UTR5341 CUSTOMER 017 RETAI,UTR5341,,108261.46,9539432.86
2024-07-06,NEFT DR NEFT5055 IMPERIAL PAINTS,NEFT5055,58575.20,,9480857.66
2024-07-07,UPI/NEFT CR UTR5236 CUSTOMER 030 RETAI,UTR5236,,88894.12,9569751.78
2024-07-07,UPI/NEFT CR UTR5354 CUSTOMER 006 RETAI,UTR5354,,417032.06,9986783.84
2024-07-08,NEFT DR NEFT5086 MADRAS HARDWARE MA,NEFT5086,50640.88,,9936142.96
2024-07-08,NEFT DR NEFT5141 CHENNAI POLYMERS P,NEFT5141,85557.08,,9850585.88
2024-07-10,UPI/NEFT CR UTR5220 CUSTOMER 008 RETAI,UTR5220,,424035.36,10274621.24
2024-07-11,NEFT DR NEFT5166 INDUS METAL WORKS,NEFT5166,90455.26,,10184165.98
2024-07-12,NEFT DR NEFT5183 YAMUNA ENTERPRISES,NEFT5183,110414.96,,10073751.02
2024-07-12,UPI/NEFT CR UTR5232 CUSTOMER 006 RETAI,UTR5232,,243266.44,10317017.46
2024-07-12,UPI/NEFT CR UTR5237 CUSTOMER 002 RETAI,UTR5237,,21293.10,10338310.56
2024-07-12,UPI/NEFT CR UTR5261 CUSTOMER 018 RETAI,UTR5261,,217706.46,10556017.02
2024-07-13,UPI/NEFT CR UTR5384 CUSTOMER 010 RETAI,UTR5384,,288388.46,10844405.48
2024-07-15,UPI/NEFT CR UTR5206 CUSTOMER 017 RETAI,UTR5206,,236215.94,11080621.42
2024-07-15,UPI/NEFT CR UTR5231 CUSTOMER 003 RETAI,UTR5231,,128897.30,11209518.72
2024-07-15,UPI/NEFT CR UTR5351 CUSTOMER 014 RETAI,UTR5351,,271729.22,11481247.94
2024-07-15,UPI/NEFT CR UTR5426 CUSTOMER 013 RETAI,UTR5426,,412784.06,11894032.00
2024-07-16,NEFT DR NEFT5092 KRISHNA CEMENT AGE,NEFT5092,140788.16,,11753243.84
2024-07-17,NEFT DR NEFT5134 CRESCENT CERAMICS,NEFT5134,282828.30,,11470415.54
2024-07-17,UPI/NEFT CR UTR5222 CUSTOMER 024 RETAI,UTR5222,,199916.78,11670332.32
2024-07-18,UPI/NEFT CR UTR5316 CUSTOMER 030 RETAI,UTR5316,,216304.62,11886636.94
2024-07-18,UPI/NEFT CR UTR5377 CUSTOMER 028 RETAI,UTR5377,,18784.42,11905421.36
2024-07-21,NEFT DR NEFT5112 YAMUNA ENTERPRISES,NEFT5112,151471.88,,11753949.48
2024-07-21,NEFT DR NEFT5177 LAKSHMI INDUSTRIAL,NEFT5177,251266.84,,11502682.64
2024-07-21,UPI/NEFT CR UTR5195 CUSTOMER 023 RETAI,UTR5195,,339581.58,11842264.22
2024-07-22,NEFT DR NEFT5056 DIVYA SAFETY EQUIP,NEFT5056,158609.70,,11683654.52
2024-07-22,UPI/NEFT CR UTR5201 CUSTOMER 030 RETAI,UTR5201,,171628.64,11855283.16
2024-07-23,UPI/NEFT CR UTR5233 CUSTOMER 003 RETAI,UTR5233,,355405.38,12210688.54
2024-07-23,UPI/NEFT CR UTR5241 CUSTOMER 008 RETAI,UTR5241,,353379.32,12564067.86
2024-07-23,UPI/NEFT CR UTR5283 CUSTOMER 019 RETAI,UTR5283,,93268.38,12657336.24
2024-07-23,UPI/NEFT CR UTR5411 CUSTOMER 006 RETAI,UTR5411,,154728.68,12812064.92
2024-07-23,UPI/NEFT CR UTR5419 CUSTOMER 030 RETAI,UTR5419,,342440.72,13154505.64
2024-07-23,UPI/NEFT CR UTR5425 CUSTOMER 003 RETAI,UTR5425,,98374.24,13252879.88
2024-07-24,NEFT DR NEFT5150 FALCON SECURITY SE,NEFT5150,162517.86,,13090362.02
2024-07-25,UPI/NEFT CR UTR5331 CUSTOMER 028 RETAI,UTR5331,,441578.42,13531940.44
2024-07-26,NEFT DR NEFT5019 GANGA TRADERS,NEFT5019,92608.76,,13439331.68
2024-07-26,UPI/NEFT CR UTR5308 CUSTOMER 026 RETAI,UTR5308,,43018.08,13482349.76
2024-07-27,NEFT DR NEFT5146 PIONEER PLASTICS,NEFT5146,148574.98,,13333774.78
2024-07-28,NEFT DR NEFT5097 XPRESS COURIERS,NEFT5097,153575.82,,13180198.96
2024-07-28,UPI/NEFT CR UTR5249 CUSTOMER 005 RETAI,UTR5249,,81615.88,13261814.84
2024-07-29,NEFT DR NEFT5063 EASTERN ELECTRICAL,NEFT5063,162102.50,,13099712.34
2024-07-30,NEFT DR NEFT5057 FORTUNE CHEMICALS,NEFT5057,102714.28,,12996998.06
2024-07-30,NEFT DR NEFT5167 JYOTI ELECTRODES,NEFT5167,208577.98,,12788420.08
2024-07-31,UPI/NEFT CR UTR5346 CUSTOMER 026 RETAI,UTR5346,,77608.60,12866028.68
2024-08-01,NEFT DR NEFT5072 INDUS METAL WORKS,NEFT5072,184201.54,,12681827.14
2024-08-01,UPI/NEFT CR UTR5294 CUSTOMER 023 RETAI,UTR5294,,208477.68,12890304.82
2024-08-02,NEFT DR NEFT5053 PRAKASH MACHINERY,NEFT5053,10676.64,,12879628.18
2024-08-02,UPI/NEFT CR UTR5198 CUSTOMER 025 RETAI,UTR5198,,68016.38,12947644.56
2024-08-02,UPI/NEFT CR UTR5277 CUSTOMER 022 RETAI,UTR5277,,439266.80,13386911.36
2024-08-02,UPI/NEFT CR UTR5318 CUSTOMER 008 RETAI,UTR5318,,241830.38,13628741.74
2024-08-02,UPI/NEFT CR UTR5360 CUSTOMER 020 RETAI,UTR5360,,359373.72,13988115.46
2024-08-02,UPI/NEFT CR UTR5408 CUSTOMER 011 RETAI,UTR5408,,226836.12,14214951.58
2024-08-03,NEFT DR NEFT5030 ANAND AUTO PARTS,NEFT5030,128177.50,,14086774.08
2024-08-03,UPI/NEFT CR UTR5296 CUSTOMER 026 RETAI,UTR5296,,400378.72,14487152.80
2024-08-05,UPI/NEFT CR UTR5400 CUSTOMER 022 RETAI,UTR5400,,119538.72,14606691.52
2024-08-06,UPI/NEFT CR UTR5319 CUSTOMER 016 RETAI,UTR5319,,245258.28,14851949.80
2024-08-07,NEFT DR NEFT5117 ZENITH ABRASIVES,NEFT5117,215142.32,,14636807.48
2024-08-09,NEFT DR NEFT5069 KRISHNA CEMENT AGE,NEFT5069,45464.22,,14591343.26
2024-08-09,NEFT DR NEFT5137 ROYAL STATIONERS,NEFT5137,167158.80,,14424184.46
2024-08-11,UPI/NEFT CR UTR5362 CUSTOMER 015 RETAI,UTR5362,,226678.00,14650862.46
2024-08-11,UPI/NEFT CR UTR5399 CUSTOMER 004 RETAI,UTR5399,,355576.48,15006438.94
2024-08-11,UPI/NEFT CR UTR5422 CUSTOMER 003 RETAI,UTR5422,,415853.24,15422292.18
2024-08-12,UPI/NEFT CR UTR5287 CUSTOMER 028 RETAI,UTR5287,,432039.30,15854331.48
2024-08-14,NEFT DR NEFT5189 FALCON SECURITY SE,NEFT5189,68641.78,,15785689.70
2024-08-15,UPI/NEFT CR UTR5268 CUSTOMER 028 RETAI,UTR5268,,233016.96,16018706.66
2024-08-15,UPI/NEFT CR UTR5278 CUSTOMER 021 RETAI,UTR5278,,162452.96,16181159.62
2024-08-16,NEFT DR NEFT5050 CHENNAI POLYMERS P,NEFT5050,158170.74,,16022988.88
2024-08-16,NEFT DR NEFT5116 XPRESS COURIERS,NEFT5116,58161.02,,15964827.86
2024-08-16,UPI/NEFT CR UTR5358 CUSTOMER 001 RETAI,UTR5358,,177542.80,16142370.66
2024-08-17,UPI/NEFT CR UTR5375 CUSTOMER 014 RETAI,UTR5375,,222094.88,16364465.54
2024-08-17,UPI/NEFT CR UTR5383 CUSTOMER 008 RETAI,UTR5383,,35958.14,16400423.68
2024-08-18,NEFT DR NEFT5077 CRESCENT CERAMICS,NEFT5077,114974.48,,16285449.20
2024-08-18,UPI/NEFT CR UTR5200 CUSTOMER 021 RETAI,UTR5200,,416643.84,16702093.04
2024-08-18,UPI/NEFT CR UTR5276 CUSTOMER 028 RETAI,UTR5276,,124838.10,16826931.14
2024-08-18,UPI/NEFT CR UTR5330 CUSTOMER 007 RETAI,UTR5330,,145468.04,16972399.18
2024-08-20,UPI/NEFT CR UTR5418 CUSTOMER 008 RETAI,UTR5418,,421413.40,17393812.58
2024-08-21,NEFT DR NEFT5048 UNIVERSAL BEARINGS,NEFT5048,137534.90,,17256277.68
2024-08-21,UPI/NEFT CR UTR5314 CUSTOMER 013 RETAI,UTR5314,,242256.36,17498534.04
2024-08-22,UPI/NEFT CR UTR5271 CUSTOMER 030 RETAI,UTR5271,,104234.12,17602768.16
2024-08-23,NEFT DR NEFT5130 XPRESS COURIERS,NEFT5130,8150.26,,17594617.90
2024-08-26,NEFT DR NEFT5070 GREEN VALLEY AGRO,NEFT5070,3255.62,,17591362.28
2024-08-27,NEFT DR NEFT5124 PIONEER PLASTICS,NEFT5124,86475.12,,17504887.16
2024-08-27,UPI/NEFT CR UTR5387 CUSTOMER 011 RETAI,UTR5387,,250864.46,17755751.62
2024-08-28,NEFT DR NEFT5105 EVEREST SCAFFOLDIN,NEFT5105,251390.74,,17504360.88
2024-08-28,NEFT DR NEFT5106 JYOTI ELECTRODES,NEFT5106,126407.50,,17377953.38
2024-08-28,UPI/NEFT CR UTR5368 CUSTOMER 012 RETAI,UTR5368,,63315.26,17441268.64
2024-08-29,NEFT DR NEFT5074 DIVYA SAFETY EQUIP,NEFT5074,36057.26,,17405211.38
2024-08-29,UPI/NEFT CR UTR5260 CUSTOMER 017 RETAI,UTR5260,,26001.30,17431212.68
2024-08-29,UPI/NEFT CR UTR5340 CUSTOMER 012 RETAI,UTR5340,,183802.70,17615015.38
2024-08-30,NEFT DR NEFT5002 FALCON SECURITY SE,NEFT5002,128404.06,,17486611.32
2024-08-30,NEFT DR NEFT5100 EVEREST SCAFFOLDIN,NEFT5100,147433.92,,17339177.40
2024-08-30,UPI/NEFT CR UTR5379 CUSTOMER 017 RETAI,UTR5379,,323332.98,17662510.38
2024-08-31,NEFT DR NEFT5171 FALCON SECURITY SE,NEFT5171,247306.76,,17415203.62
2024-08-31,UPI/NEFT CR UTR5367 CUSTOMER 006 RETAI,UTR5367,,262406.04,17677609.66
2024-09-01,NEFT DR NEFT5133 DIVYA SAFETY EQUIP,NEFT5133,146714.12,,17530895.54
2024-09-02,UPI/NEFT CR UTR5217 CUSTOMER 003 RETAI,UTR5217,,371310.60,17902206.14
2024-09-03,NEFT DR NEFT5093 PRAKASH MACHINERY,NEFT5093,178591.82,,17723614.32
2024-09-03,UPI/NEFT CR UTR5267 CUSTOMER 001 RETAI,UTR5267,,293777.52,18017391.84
2024-09-04,NEFT DR NEFT5012 FALCON SECURITY SE,NEFT5012,87825.04,,17929566.80
2024-09-05,UPI/NEFT CR UTR5395 CUSTOMER 003 RETAI,UTR5395,,225231.32,18154798.12
2024-09-06,UPI/NEFT CR UTR5363 CUSTOMER 025 RETAI,UTR5363,,174101.92,18328900.04
2024-09-09,NEFT DR NEFT5036 VENUS ADHESIVES,NEFT5036,108993.06,,18219906.98
2024-09-09,UPI/NEFT CR UTR5256 CUSTOMER 001 RETAI,UTR5256,,14667.40,18234574.38
2024-09-10,NEFT DR NEFT5083 PIONEER PLASTICS,NEFT5083,79915.50,,18154658.88
2024-09-12,NEFT DR NEFT5007 PRAKASH MACHINERY,NEFT5007,62660.36,,18091998.52
2024-09-12,UPI/NEFT CR UTR5430 CUSTOMER 030 RETAI,UTR5430,,296408.92,18388407.44
2024-09-13,UPI/NEFT CR UTR5404 CUSTOMER 020 RETAI,UTR5404,,437446.06,18825853.50
2024-09-14,NEFT DR NEFT5025 PIONEER PLASTICS,NEFT5025,74711.70,,18751141.80
2024-09-14,UPI/NEFT CR UTR5202 CUSTOMER 030 RETAI,UTR5202,,421160.88,19172302.68
2024-09-14,UPI/NEFT CR UTR5251 CUSTOMER 020 RETAI,UTR5251,,327969.20,19500271.88
2024-09-15,NEFT DR NEFT5008 KAVERI TRANSPORT C,NEFT5008,76820.36,,19423451.52
2024-09-15,UPI/NEFT CR UTR5434 CUSTOMER 005 RETAI,UTR5434,,330421.24,19753872.76
2024-09-16,NEFT DR NEFT5461 PRAKASH MACHINERY,NEFT5461,49000.00,,19704872.76
2024-09-17,UPI/NEFT CR UTR5343 CUSTOMER 023 RETAI,UTR5343,,76832.16,19781704.92
2024-09-17,UPI/NEFT CR UTR5417 CUSTOMER 028 RETAI,UTR5417,,335297.00,20117001.92
2024-09-18,NEFT DR NEFT5462 PRAKASH MACHINERY,NEFT5462,49500.00,,20067501.92
2024-09-19,NEFT DR NEFT5148 HITECH INSTRUMENTS,NEFT5148,249339.90,,19818162.02
2024-09-19,NEFT DR NEFT5154 UNIVERSAL BEARINGS,NEFT5154,262573.60,,19555588.42
2024-09-20,NEFT DR NEFT5152 KRISHNA CEMENT AGE,NEFT5152,73172.98,,19482415.44
2024-09-20,NEFT DR NEFT5463 PRAKASH MACHINERY,NEFT5463,48750.00,,19433665.44
2024-09-22,NEFT DR NEFT5033 HITECH INSTRUMENTS,NEFT5033,207977.36,,19225688.08
2024-09-23,NEFT DR NEFT5001 JYOTI ELECTRODES,NEFT5001,14557.66,,19211130.42
2024-09-23,NEFT DR NEFT5064 CRESCENT CERAMICS,NEFT5064,47971.72,,19163158.70
2024-09-24,UPI/NEFT CR UTR5416 CUSTOMER 021 RETAI,UTR5416,,384684.72,19547843.42
2024-09-25,NEFT DR NEFT5104 GANGA TRADERS,NEFT5104,80543.26,,19467300.16
2024-09-25,NEFT DR NEFT5168 OMKAR ENGINEERING,NEFT5168,71303.86,,19395996.30
2024-09-25,UPI/NEFT CR UTR5329 CUSTOMER 022 RETAI,UTR5329,,247635.98,19643632.28
2024-09-27,NEFT DR NEFT5107 SUNRISE SOLVENTS,NEFT5107,144402.50,,19499229.78
2024-09-27,UPI/NEFT CR UTR5457 CUSTOMER 010 RETAI,UTR5457,,79415.18,19578644.96
2024-09-30,BANK CHARGES QTR2,CHG20240930,2478.00,,19576166.96
2024-09-30,UPI/NEFT CR UTR5344 CUSTOMER 003 RETAI,UTR5344,,391597.16,19967764.12
2024-10-01,UPI/NEFT CR UTR5398 CUSTOMER 013 RETAI,UTR5398,,126044.06,20093808.18
2024-10-02,NEFT DR NEFT5038 UNIVERSAL BEARINGS,NEFT5038,208052.88,,19885755.30
2024-10-03,UPI/NEFT CR UTR5429 CUSTOMER 016 RETAI,UTR5429,,306063.68,20191818.98
2024-10-04,NEFT DR NEFT5096 UNIVERSAL BEARINGS,NEFT5096,49568.26,,20142250.72
2024-10-06,UPI/NEFT CR UTR5428 CUSTOMER 019 RETAI,UTR5428,,261683.88,20403934.60
2024-10-07,UPI/NEFT CR UTR5205 CUSTOMER 029 RETAI,UTR5205,,392498.68,20796433.28
2024-10-08,NEFT DR NEFT5089 BALAJI PACKAGING C,NEFT5089,193322.94,,20603110.34
2024-10-08,UPI/NEFT CR UTR5225 CUSTOMER 014 RETAI,UTR5225,,29301.76,20632412.10
2024-10-08,UPI/NEFT CR UTR5439 CUSTOMER 006 RETAI,UTR5439,,442399.70,21074811.80
2024-10-09,NEFT DR NEFT5014 HITECH INSTRUMENTS,NEFT5014,76292.90,,20998518.90
2024-10-09,NEFT DR NEFT5084 GREEN VALLEY AGRO,NEFT5084,30605.66,,20967913.24
2024-10-09,UPI/NEFT CR UTR5315 CUSTOMER 023 RETAI,UTR5315,,378108.58,21346021.82
2024-10-10,UPI/NEFT CR UTR5325 CUSTOMER 010 RETAI,UTR5325,,328868.36,21674890.18
2024-10-13,NEFT DR NEFT5021 XPRESS COURIERS,NEFT5021,201778.82,,21473111.36
2024-10-14,UPI/NEFT CR UTR5348 CUSTOMER 003 RETAI,UTR5348,,265928.34,21739039.70
2024-10-14,UPI/NEFT CR UTR5415 CUSTOMER 011 RETAI,UTR5415,,155585.36,21894625.06
2024-10-15,UPI/NEFT CR UTR5342 CUSTOMER 012 RETAI,UTR5342,,412296.72,22306921.78
2024-10-16,NEFT DR NEFT5132 CRESCENT CERAMICS,NEFT5132,10549.20,,22296372.58
2024-10-18,NEFT DR NEFT5034 EASTERN ELECTRICAL,NEFT5034,200144.52,,22096228.06
2024-10-18,UPI/NEFT CR UTR5216 CUSTOMER 008 RETAI,UTR5216,,373752.02,22469980.08
2024-10-22,UPI/NEFT CR UTR5364 CUSTOMER 014 RETAI,UTR5364,,78329.58,22548309.66
2024-10-25,NEFT DR NEFT5051 MADRAS HARDWARE MA,NEFT5051,44064.74,,22504244.92
2024-10-25,UPI/NEFT CR UTR5210 CUSTOMER 020 RETAI,UTR5210,,131638.44,22635883.36
2024-10-26,NEFT DR NEFT5131 SHREE RAM TRADERS,NEFT5131,127494.28,,22508389.08
2024-10-27,NEFT DR NEFT5005 NATIONAL WEIGHBRID,NEFT5005,123509.42,,22384879.66
2024-10-27,UPI/NEFT CR UTR5292 CUSTOMER 028 RETAI,UTR5292,,239857.42,22624737.08
2024-10-30,UPI/NEFT CR UTR5215 CUSTOMER 021 RETAI,UTR5215,,339260.62,22963997.70
