voucher_id,voucher_type,txn_date,created_at,account_code,account_name,debit,credit,narration,source,user_id,reversal_of
PUR-00007,Purchase,2024-11-22,2024-11-23 15:26,2301,GST Input Credit,33922.62,,GST input on SI002/2006,PurchaseModule,ACCT-3,
PUR-00007,Purchase,2024-11-22,2024-11-23 15:26,2101,Sundry Creditors,,222381.62,Balaji Packaging Co inv SI002/2006,PurchaseModule,ACCT-3,
PUR-00008,Purchase,2024-04-08,2024-04-09 15:58,5401,Professional Fees,28430.00,,Being goods/services from Jaipur Textiles House inv SI010/2007,PurchaseModule,ACCT-3,
PUR-00008,Purchase,2024-04-08,2024-04-09 15:58,2301,GST Input Credit,5117.40,,GST input on SI010/2007,PurchaseModule,ACCT-3,
PUR-00008,Purchase,2024-04-08,2024-04-09 15:58,2101,Sundry Creditors,,33547.40,Jaipur Textiles House inv SI010/2007,PurchaseModule,ACCT-3,
PUR-00009,Purchase,2024-11-24,2024-11-25 15:09,5201,Rent Expense,48037.00,,Being goods/services from Zenith Abrasives inv SI027/2008,PurchaseModule,ACCT-1,
PUR-00009,Purchase,2024-11-24,2024-11-25 15:09,2301,GST Input Credit,8646.66,,GST input on SI027/2008,PurchaseModule,ACCT-1,
PUR-00009,Purchase,2024-11-24,2024-11-25 15:09,2101,Sundry Creditors,,56683.66,Zenith Abrasives inv SI027/2008,PurchaseModule,ACCT-1,
PUR-00010,Purchase,2025-03-05,2025-03-05 14:04,5101,Freight & Cartage,211959.00,,Being goods/services from Silverline Pipes inv SI045/2009,PurchaseModule,ACCT-1,
PUR-00010,Purchase,2025-03-05,2025-03-05 14:04,2301,GST Input Credit,38152.62,,GST input on SI045/2009,PurchaseModule,ACCT-1,
PUR-00010,Purchase,2025-03-05,2025-03-05 14:04,2101,Sundry Creditors,,250111.62,Silverline Pipes inv SI045/2009,PurchaseModule,ACCT-1,
PUR-00011,Purchase,2024-08-14,2024-08-15 17:12,5001,Purchases - Trading Goods,53102.00,,Being goods/services from Prakash Machinery inv SI043/2010,PurchaseModule,ACCT-1,
PUR-00011,Purchase,2024-08-14,2024-08-15 17:12,2301,GST Input Credit,9558.36,,GST input on SI043/2010,PurchaseModule,ACCT-1,
PUR-00011,Purchase,2024-08-14,2024-08-15 17:12,2101,Sundry Creditors,,62660.36,Prakash Machinery inv SI043/2010,PurchaseModule,ACCT-1,
PUR-00012,Purchase,2024-08-22,2024-08-22 09:33,5401,Professional Fees,65102.00,,Being goods/services from Kaveri Transport Co inv SI011/2011,PurchaseModule,ACCT-1,
PUR-00012,Purchase,2024-08-22,2024-08-22 09:33,2301,GST Input Credit,11718.36,,GST input on SI011/2011,PurchaseModule,ACCT-1,
PUR-00012,Purchase,2024-08-22,2024-08-22 09:33,2101,Sundry Creditors,,76820.36,Kaveri Transport Co inv SI011/2011,PurchaseModule,ACCT-1,
PUR-00013,Purchase,2024-05-12,2024-05-13 16:36,5301,Repairs & Maintenance,59251.00,,Being goods/services from Jyoti Electrodes inv SI037/2012,PurchaseModule,ACCT-1,
PUR-00013,Purchase,2024-05-12,2024-05-13 16:36,2301,GST Input Credit,10665.18,,GST input on SI037/2012,PurchaseModule,ACCT-1,
PUR-00013,Purchase,2024-05-12,2024-05-13 16:36,2101,Sundry Creditors,,69916.18,Jyoti Electrodes inv SI037/2012,PurchaseModule,ACCT-1,
PUR-00014,Purchase,2024-05-25,2024-05-25 14:27,5101,Freight & Cartage,8102.00,,Being goods/services from Crescent Ceramics inv SI030/2013,PurchaseModule,ACCT-2,
PUR-00014,Purchase,2024-05-25,2024-05-25 14:27,2301,GST Input Credit,1458.36,,GST input on SI030/2013,PurchaseModule,ACCT-2,
PUR-00014,Purchase,2024-05-25,2024-05-25 14:27,2101,Sundry Creditors,,9560.36,Crescent Ceramics inv SI030/2013,PurchaseModule,ACCT-2,
PUR-00015,Purchase,2024-11-01,2024-11-02 18:23,5301,Repairs & Maintenance,72912.00,,Being goods/services from Crescent Ceramics inv SI030/2014,PurchaseModule,ACCT-3,
PUR-00015,Purchase,2024-11-01,2024-11-02 18:23,2301,GST Input Credit,13124.16,,GST input on SI030/2014,PurchaseModule,ACCT-3,
PUR-00015,Purchase,2024-11-01,2024-11-02 18:23,2101,Sundry Creditors,,86036.16,Crescent Ceramics inv SI030/2014,PurchaseModule,ACCT-3,
PUR-00016,Purchase,2024-08-06,2024-08-06 10:18,5301,Repairs & Maintenance,74428.00,,Being goods/services from Falcon Security Services inv SI033/2015,PurchaseModule,ACCT-2,
PUR-00016,Purchase,2024-08-06,2024-08-06 10:18,2301,GST Input Credit,13397.04,,GST input on SI033/2015,PurchaseModule,ACCT-2,
PUR-00016,Purchase,2024-08-06,2024-08-06 10:18,2101,Sundry Creditors,,87825.04,Falcon Security Services inv SI033/2015,PurchaseModule,ACCT-2,
PUR-00017,Purchase,2024-11-12,2024-11-13 10:34,5001,Purchases - Trading Goods,87960.00,,Being goods/services from Universal Bearings inv SI022/2016,PurchaseModule,ACCT-1,
PUR-00017,Purchase,2024-11-12,2024-11-13 10:34,2301,GST Input Credit,15832.80,,GST input on SI022/2016,PurchaseModule,ACCT-1,
PUR-00017,Purchase,2024-11-12,2024-11-13 10:34,2101,Sundry Creditors,,103792.80,Universal Bearings inv SI022/2016,PurchaseModule,ACCT-1,
PUR-00018,Purchase,2024-12-04,2024-12-05 13:20,5101,Freight & Cartage,202961.00,,Being goods/services from Chennai Polymers Pvt Ltd inv SI003/2017,PurchaseModule,ACCT-1,
PUR-00018,Purchase,2024-12-04,2024-12-05 13:20,2301,GST Input Credit,36532.98,,GST input on SI003/2017,PurchaseModule,ACCT-1,
PUR-00018,Purchase,2024-12-04,2024-12-05 13:20,2101,Sundry Creditors,,239493.98,Chennai Polymers Pvt Ltd inv SI003/2017,PurchaseModule,ACCT-1,
PUR-00019,Purchase,2024-09-19,2024-09-19 12:59,5901,Miscellaneous Expenses,215201.00,,Being goods/services from Himalaya Papers inv SI008/2018,PurchaseModule,ACCT-1,
PUR-00019,Purchase,2024-09-19,2024-09-19 12:59,2301,GST Input Credit,38736.18,,GST input on SI008/2018,PurchaseModule,ACCT-1,
PUR-00019,Purchase,2024-09-19,2024-09-19 12:59,2101,Sundry Creditors,,253937.18,Himalaya Papers inv SI008/2018,PurchaseModule,ACCT-1,
PUR-00020,Purchase,2024-12-24,2024-12-24 15:10,5101,Freight & Cartage,96752.00,,Being goods/services from Xpress Couriers inv SI025/2019,PurchaseModule,ACCT-1,
PUR-00020,Purchase,2024-12-24,2024-12-24 15:10,2301,GST Input Credit,17415.36,,GST input on SI025/2019,PurchaseModule,ACCT-1,
PUR-00020,Purchase,2024-12-24,2024-12-24 15:10,2101,Sundry Creditors,,114167.36,Xpress Couriers inv SI025/2019,PurchaseModule,ACCT-1,
PUR-00021,Purchase,2024-09-04,2024-09-04 15:44,5101,Freight & Cartage,64655.00,,Being goods/services from Hitech Instruments inv SI035/2020,PurchaseModule,ACCT-1,
PUR-00021,Purchase,2024-09-04,2024-09-04 15:44,2301,GST Input Credit,11637.90,,GST input on SI035/2020,PurchaseModule,ACCT-1,
PUR-00021,Purchase,2024-09-04,2024-09-04 15:44,2101,Sundry Creditors,,76292.90,Hitech Instruments inv SI035/2020,PurchaseModule,ACCT-1,
PUR-00022,Purchase,2024-04-07,2024-04-08 11:25,5101,Freight & Cartage,196568.00,,Being goods/services from National Weighbridge inv SI041/2021,PurchaseModule,ACCT-1,
PUR-00022,Purchase,2024-04-07,2024-04-08 11:25,2301,GST Input Credit,35382.24,,GST input on SI041/2021,PurchaseModule,ACCT-1,
PUR-00022,Purchase,2024-04-07,2024-04-08 11:25,2101,Sundry Creditors,,231950.24,National Weighbridge inv SI041/2021,PurchaseModule,ACCT-1,
PUR-00023,Purchase,2024-12-21,2024-12-21 13:24,5901,Miscellaneous Expenses,68862.00,,Being goods/services from Jyoti Electrodes inv SI037/2022,PurchaseModule,ACCT-2,
PUR-00023,Purchase,2024-12-21,2024-12-21 13:24,2301,GST Input Credit,12395.16,,GST input on SI037/2022,PurchaseModule,ACCT-2,
PUR-00023,Purchase,2024-12-21,2024-12-21 13:24,2101,Sundry Creditors,,81257.16,Jyoti Electrodes inv SI037/2022,PurchaseModule,ACCT-2,
PUR-00024,Purchase,2025-01-15,2025-01-15 11:10,5201,Rent Expense,121410.00,,Being goods/services from Anand Auto Parts inv SI028/2023,PurchaseModule,ACCT-2,
PUR-00024,Purchase,2025-01-15,2025-01-15 11:10,2301,GST Input Credit,21853.80,,GST input on SI028/2023,PurchaseModule,ACCT-2,
PUR-00024,Purchase,2025-01-15,2025-01-15 11:10,2101,Sundry Creditors,,143263.80,Anand Auto Parts inv SI028/2023,PurchaseModule,ACCT-2,
PUR-00025,Purchase,2025-02-16,2025-02-16 14:59,5401,Professional Fees,147069.00,,Being goods/services from Royal Stationers inv SI019/2024,PurchaseModule,ACCT-3,
PUR-00025,Purchase,2025-02-16,2025-02-16 14:59,2301,GST Input Credit,26472.42,,GST input on SI019/2024,PurchaseModule,ACCT-3,
PUR-00025,Purchase,2025-02-16,2025-02-16 14:59,2101,Sundry Creditors,,173541.42,Royal Stationers inv SI019/2024,PurchaseModule,ACCT-3,
PUR-00026,Purchase,2024-07-15,2024-07-15 12:59,5101,Freight & Cartage,78482.00,,Being goods/services from Ganga Traders inv SI007/2025,PurchaseModule,ACCT-3,
PUR-00026,Purchase,2024-07-15,2024-07-15 12:59,2301,GST Input Credit,14126.76,,GST input on SI007/2025,PurchaseModule,ACCT-3,
PUR-00026,Purchase,2024-07-15,2024-07-15 12:59,2101,Sundry Creditors,,92608.76,Ganga Traders inv SI007/2025,PurchaseModule,ACCT-3,
PUR-00027,Purchase,2024-05-17,2024-05-18 16:49,5101,Freight & Cartage,87296.00,,Being goods/services from Sunrise Solvents inv SI020/2026,PurchaseModule,ACCT-1,
PUR-00027,Purchase,2024-05-17,2024-05-18 16:49,2301,GST Input Credit,15713.28,,GST input on SI020/2026,PurchaseModule,ACCT-1,
PUR-00027,Purchase,2024-05-17,2024-05-18 16:49,2101,Sundry Creditors,,103009.28,Sunrise Solvents inv SI020/2026,PurchaseModule,ACCT-1,
PUR-00028,Purchase,2024-07-14,2024-07-15 12:47,5201,Rent Expense,28559.00,,Being goods/services from Everest Scaffolding inv SI032/2027,PurchaseModule,ACCT-3,
PUR-00028,Purchase,2024-07-14,2024-07-15 12:47,2301,GST Input Credit,5140.62,,GST input on SI032/2027,PurchaseModule,ACCT-3,
PUR-00028,Purchase,2024-07-14,2024-07-15 12:47,2101,Sundry Creditors,,33699.62,Everest Scaffolding inv SI032/2027,PurchaseModule,ACCT-3,
PUR-00029,Purchase,2024-07-13,2024-07-14 09:00,5301,Repairs & Maintenance,230270.00,,Being goods/services from Chennai Polymers Pvt Ltd inv SI003/2028,PurchaseModule,ACCT-2,
PUR-00029,Purchase,2024-07-13,2024-07-14 09:00,2301,GST Input Credit,41448.60,,GST input on SI003/2028,PurchaseModule,ACCT-2,
PUR-00029,Purchase,2024-07-13,2024-07-14 09:00,2101,Sundry Creditors,,271718.60,Chennai Polymers Pvt Ltd inv SI003/2028,PurchaseModule,ACCT-2,
PUR-00030,Purchase,2024-11-20,2024-11-20 15:43,5301,Repairs & Maintenance,39762.00,,Being goods/services from Kaveri Transport Co inv SI011/2029,PurchaseModule,ACCT-2,
PUR-00030,Purchase,2024-11-20,2024-11-20 15:43,2301,GST Input Credit,7157.16,,GST input on SI011/2029,PurchaseModule,ACCT-2,
PUR-00030,Purchase,2024-11-20,2024-11-20 15:43,2101,Sundry Creditors,,46919.16,Kaveri Transport Co inv SI011/2029,PurchaseModule,ACCT-2,
PUR-00031,Purchase,2024-09-16,2024-09-17 17:17,5401,Professional Fees,170999.00,,Being goods/services from Xpress Couriers inv SI025/2030,PurchaseModule,ACCT-2,
PUR-00031,Purchase,2024-09-16,2024-09-17 17:17,2301,GST Input Credit,30779.82,,GST input on SI025/2030,PurchaseModule,ACCT-2,
PUR-00031,Purchase,2024-09-16,2024-09-17 17:17,2101,Sundry Creditors,,201778.82,Xpress Couriers inv SI025/2030,PurchaseModule,ACCT-2,
PUR-00032,Purchase,2025-02-22,2025-02-23 14:39,5101,Freight & Cartage,184029.00,,Being goods/services from Silverline Pipes inv SI045/2031,PurchaseModule,ACCT-2,
PUR-00032,Purchase,2025-02-22,2025-02-23 14:39,2301,GST Input Credit,33125.22,,GST input on SI045/2031,PurchaseModule,ACCT-2,
PUR-00032,Purchase,2025-02-22,2025-02-23 14:39,2101,Sundry Creditors,,217154.22,Silverline Pipes inv SI045/2031,PurchaseModule,ACCT-2,
PUR-00033,Purchase,2025-02-09,2025-02-10 10:35,5301,Repairs & Maintenance,133357.00,,Being goods/services from Universal Bearings inv SI022/2032,PurchaseModule,ACCT-1,
PUR-00033,Purchase,2025-02-09,2025-02-10 10:35,2301,GST Input Credit,24004.26,,GST input on SI022/2032,PurchaseModule,ACCT-1,
PUR-00033,Purchase,2025-02-09,2025-02-10 10:35,2101,Sundry Creditors,,157361.26,Universal Bearings inv SI022/2032,PurchaseModule,ACCT-1,
PUR-00034,Purchase,2024-05-22,2024-05-22 18:49,5401,Professional Fees,147373.00,,Being goods/services from Omkar Engineering inv SI016/2033,PurchaseModule,ACCT-1,
PUR-00034,Purchase,2024-05-22,2024-05-22 18:49,2301,GST Input Credit,26527.14,,GST input on SI016/2033,PurchaseModule,ACCT-1,
PUR-00034,Purchase,2024-05-22,2024-05-22 18:49,2101,Sundry Creditors,,173900.14,Omkar Engineering inv SI016/2033,PurchaseModule,ACCT-1,
PUR-00035,Purchase,2024-08-22,2024-08-23 15:43,5001,Purchases - Trading Goods,63315.00,,Being goods/services from Pioneer Plastics inv SI017/2034,PurchaseModule,ACCT-2,
PUR-00035,Purchase,2024-08-22,2024-08-23 15:43,2301,GST Input Credit,11396.70,,GST input on SI017/2034,PurchaseModule,ACCT-2,
PUR-00035,Purchase,2024-08-22,2024-08-23 15:43,2101,Sundry Creditors,,74711.70,Pioneer Plastics inv SI017/2034,PurchaseModule,ACCT-2,
PUR-00036,Purchase,2025-01-08,2025-01-09 09:27,5001,Purchases - Trading Goods,74190.00,,Being goods/services from Everest Scaffolding inv SI032/2035,PurchaseModule,ACCT-3,
PUR-00036,Purchase,2025-01-08,2025-01-09 09:27,2301,GST Input Credit,13354.20,,GST input on SI032/2035,PurchaseModule,ACCT-3,
PUR-00036,Purchase,2025-01-08,2025-01-09 09:27,2101,Sundry Creditors,,87544.20,Everest Scaffolding inv SI032/2035,PurchaseModule,ACCT-3,
PUR-00037,Purchase,2024-05-07,2024-05-07 12:04,5101,Freight & Cartage,150387.00,,Being goods/services from Everest Scaffolding inv SI032/2036,PurchaseModule,ACCT-3,
PUR-00037,Purchase,2024-05-07,2024-05-07 12:04,2301,GST Input Credit,27069.66,,GST input on SI032/2036,PurchaseModule,ACCT-3,
PUR-00037,Purchase,2024-05-07,2024-05-07 12:04,2101,Sundry Creditors,,177456.66,Everest Scaffolding inv SI032/2036,PurchaseModule,ACCT-3,
PUR-00038,Purchase,2024-06-11,2024-06-12 13:02,5101,Freight & Cartage,83944.00,,Being goods/services from Kaveri Transport Co inv SI011/2037,PurchaseModule,ACCT-3,
PUR-00038,Purchase,2024-06-11,2024-06-12 13:02,2301,GST Input Credit,15109.92,,GST input on SI011/2037,PurchaseModule,ACCT-3,
PUR-00038,Purchase,2024-06-11,2024-06-12 13:02,2101,Sundry Creditors,,99053.92,Kaveri Transport Co inv SI011/2037,PurchaseModule,ACCT-3,
PUR-00039,Purchase,2024-05-22,2024-05-22 12:43,5001,Purchases - Trading Goods,3484.00,,Being goods/services from Trident Tools Ltd inv SI021/2038,PurchaseModule,ACCT-3,
PUR-00039,Purchase,2024-05-22,2024-05-22 12:43,2301,GST Input Credit,627.12,,GST input on SI021/2038,PurchaseModule,ACCT-3,
PUR-00039,Purchase,2024-05-22,2024-05-22 12:43,2101,Sundry Creditors,,4111.12,Trident Tools Ltd inv SI021/2038,PurchaseModule,ACCT-3,
PUR-00040,Purchase,2024-07-23,2024-07-24 18:32,5401,Professional Fees,59386.00,,Being goods/services from Anand Auto Parts inv SI028/2039,PurchaseModule,ACCT-3,
PUR-00040,Purchase,2024-07-23,2024-07-24 18:32,2301,GST Input Credit,10689.48,,GST input on SI028/2039,PurchaseModule,ACCT-3,
PUR-00040,Purchase,2024-07-23,2024-07-24 18:32,2101,Sundry Creditors,,70075.48,Anand Auto Parts inv SI028/2039,PurchaseModule,ACCT-3,
PUR-00041,Purchase,2024-06-10,2024-06-11 15:54,5201,Rent Expense,141994.00,,Being goods/services from Xpress Couriers inv SI025/2040,PurchaseModule,ACCT-2,
PUR-00041,Purchase,2024-06-10,2024-06-11 15:54,2301,GST Input Credit,25558.92,,GST input on SI025/2040,PurchaseModule,ACCT-2,
PUR-00041,Purchase,2024-06-10,2024-06-11 15:54,2101,Sundry Creditors,,167552.92,Xpress Couriers inv SI025/2040,PurchaseModule,ACCT-2,
PUR-00042,Purchase,2024-05-30,2024-05-30 10:53,5901,Miscellaneous Expenses,53281.00,,Being goods/services from Divya Safety Equipments inv SI031/2041,PurchaseModule,ACCT-2,
PUR-00042,Purchase,2024-05-30,2024-05-30 10:53,2301,GST Input Credit,9590.58,,GST input on SI031/2041,PurchaseModule,ACCT-2,
PUR-00042,Purchase,2024-05-30,2024-05-30 10:53,2101,Sundry Creditors,,62871.58,Divya Safety Equipments inv SI031/2041,PurchaseModule,ACCT-2,
PUR-00043,Purchase,2024-07-06,2024-07-06 11:56,5001,Purchases - Trading Goods,108625.00,,Being goods/services from Anand Auto Parts inv SI028/2042,PurchaseModule,ACCT-1,
PUR-00043,Purchase,2024-07-06,2024-07-06 11:56,2301,GST Input Credit,19552.50,,GST input on SI028/2042,PurchaseModule,ACCT-1,
PUR-00043,Purchase,2024-07-06,2024-07-06 11:56,2101,Sundry Creditors,,128177.50,Anand Auto Parts inv SI028/2042,PurchaseModule,ACCT-1,
PUR-00044,Purchase,2024-12-06,2024-12-06 13:48,5101,Freight & Cartage,213866.00,,Being goods/services from Imperial Paints inv SI036/2043,PurchaseModule,ACCT-1,
PUR-00044,Purchase,2024-12-06,2024-12-06 13:48,2301,GST Input Credit,38495.88,,GST input on SI036/2043,PurchaseModule,ACCT-1,
PUR-00044,Purchase,2024-12-06,2024-12-06 13:48,2101,Sundry Creditors,,252361.88,Imperial Paints inv SI036/2043,PurchaseModule,ACCT-1,
PUR-00045,Purchase,2024-06-01,2024-06-02 16:57,5301,Repairs & Maintenance,154346.00,,Being goods/services from National Weighbridge inv SI041/2044,PurchaseModule,ACCT-3,
PUR-00045,Purchase,2024-06-01,2024-06-02 16:57,2301,GST Input Credit,27782.28,,GST input on SI041/2044,PurchaseModule,ACCT-3,
PUR-00045,Purchase,2024-06-01,2024-06-02 16:57,2101,Sundry Creditors,,182128.28,National Weighbridge inv SI041/2044,PurchaseModule,ACCT-3,
PUR-00046,Purchase,2024-08-19,2024-08-20 09:19,5101,Freight & Cartage,176252.00,,Being goods/services from Hitech Instruments inv SI035/2045,PurchaseModule,ACCT-1,
PUR-00046,Purchase,2024-08-19,2024-08-20 09:19,2301,GST Input Credit,31725.36,,GST input on SI035/2045,PurchaseModule,ACCT-1,
PUR-00046,Purchase,2024-08-19,2024-08-20 09:19,2101,Sundry Creditors,,207977.36,Hitech Instruments inv SI035/2045,PurchaseModule,ACCT-1,
PUR-00047,Purchase,2024-09-08,2024-09-08 15:12,5401,Professional Fees,169614.00,,Being goods/services from Eastern Electricals inv SI005/2046,PurchaseModule,ACCT-2,
PUR-00047,Purchase,2024-09-08,2024-09-08 15:12,2301,GST Input Credit,30530.52,,GST input on SI005/2046,PurchaseModule,ACCT-2,
PUR-00047,Purchase,2024-09-08,2024-09-08 15:12,2101,Sundry Creditors,,200144.52,Eastern Electricals inv SI005/2046,PurchaseModule,ACCT-2,
PUR-00048,Purchase,2024-10-18,2024-10-18 12:03,5901,Miscellaneous Expenses,130013.00,,Being goods/services from Fortune Chemicals inv SI006/2047,PurchaseModule,ACCT-1,
PUR-00048,Purchase,2024-10-18,2024-10-18 12:03,2301,GST Input Credit,23402.34,,GST input on SI006/2047,PurchaseModule,ACCT-1,
PUR-00048,Purchase,2024-10-18,2024-10-18 12:03,2101,Sundry Creditors,,153415.34,Fortune Chemicals inv SI006/2047,PurchaseModule,ACCT-1,
PUR-00049,Purchase,2024-06-26,2024-06-27 10:34,5301,Repairs & Maintenance,170367.00,,Being goods/services from Yamuna Enterprises inv SI026/2048,PurchaseModule,ACCT-2,
PUR-00049,Purchase,2024-06-26,2024-06-27 10:34,2301,GST Input Credit,30666.06,,GST input on SI026/2048,PurchaseModule,ACCT-2,
PUR-00049,Purchase,2024-06-26,2024-06-27 10:34,2101,Sundry Creditors,,201033.06,Yamuna Enterprises inv SI026/2048,PurchaseModule,ACCT-2,
PUR-00050,Purchase,2025-01-13,2025-01-13 16:59,5401,Professional Fees,124163.00,,Being goods/services from National Weighbridge inv SI041/2049,PurchaseModule,ACCT-2,
PUR-00050,Purchase,2025-01-13,2025-01-13 16:59,2301,GST Input Credit,22349.34,,GST input on SI041/2049,PurchaseModule,ACCT-2,
PUR-00050,Purchase,2025-01-13,2025-01-13 16:59,2101,Sundry Creditors,,146512.34,National Weighbridge inv SI041/2049,PurchaseModule,ACCT-2,
PUR-00051,Purchase,2024-05-07,2024-05-07 13:04,5201,Rent Expense,190913.00,,Being goods/services from Prakash Machinery inv SI043/2050,PurchaseModule,ACCT-1,
PUR-00051,Purchase,2024-05-07,2024-05-07 13:04,2301,GST Input Credit,34364.34,,GST input on SI043/2050,PurchaseModule,ACCT-1,
PUR-00051,Purchase,2024-05-07,2024-05-07 13:04,2101,Sundry Creditors,,225277.34,Prakash Machinery inv SI043/2050,PurchaseModule,ACCT-1,
PUR-00052,Purchase,2024-08-11,2024-08-11 13:58,5401,Professional Fees,92367.00,,Being goods/services from Venus Adhesives inv SI023/2051,PurchaseModule,ACCT-1,
PUR-00052,Purchase,2024-08-11,2024-08-11 13:58,2301,GST Input Credit,16626.06,,GST input on SI023/2051,PurchaseModule,ACCT-1,
PUR-00052,Purchase,2024-08-11,2024-08-11 13:58,2101,Sundry Creditors,,108993.06,Venus Adhesives inv SI023/2051,PurchaseModule,ACCT-1,
PUR-00053,Purchase,2024-10-19,2024-10-20 10:22,5201,Rent Expense,20513.00,,Being goods/services from Silverline Pipes inv SI045/2052,PurchaseModule,ACCT-1,
PUR-00053,Purchase,2024-10-19,2024-10-20 10:22,2301,GST Input Credit,3692.34,,GST input on SI045/2052,PurchaseModule,ACCT-1,
PUR-00053,Purchase,2024-10-19,2024-10-20 10:22,2101,Sundry Creditors,,24205.34,Silverline Pipes inv SI045/2052,PurchaseModule,ACCT-1,
PUR-00054,Purchase,2024-09-18,2024-09-19 18:52,5301,Repairs & Maintenance,176316.00,,Being goods/services from Universal Bearings inv SI022/2053,PurchaseModule,ACCT-2,
PUR-00054,Purchase,2024-09-18,2024-09-19 18:52,2301,GST Input Credit,31736.88,,GST input on SI022/2053,PurchaseModule,ACCT-2,
PUR-00054,Purchase,2024-09-18,2024-09-19 18:52,2101,Sundry Creditors,,208052.88,Universal Bearings inv SI022/2053,PurchaseModule,ACCT-2,
PUR-00055,Purchase,2024-04-16,2024-04-16 16:30,5401,Professional Fees,78482.00,,Being goods/services from Yamuna Enterprises inv SI026/2054,PurchaseModule,ACCT-1,
PUR-00055,Purchase,2024-04-16,2024-04-16 16:30,2301,GST Input Credit,14126.76,,GST input on SI026/2054,PurchaseModule,ACCT-1,
PUR-00055,Purchase,2024-04-16,2024-04-16 16:30,2101,Sundry Creditors,,92608.76,Yamuna Enterprises inv SI026/2054,PurchaseModule,ACCT-1,
PUR-00056,Purchase,2025-03-31,2025-03-31 15:34,5001,Purchases - Trading Goods,38818.00,,Being goods/services from Xpress Couriers inv SI025/2055,PurchaseModule,ACCT-2,
PUR-00056,Purchase,2025-03-31,2025-03-31 15:34,2301,GST Input Credit,6987.24,,GST input on SI025/2055,PurchaseModule,ACCT-2,
PUR-00056,Purchase,2025-03-31,2025-03-31 15:34,2101,Sundry Creditors,,45805.24,Xpress Couriers inv SI025/2055,PurchaseModule,ACCT-2,
PUR-00057,Purchase,2025-01-16,2025-01-17 14:48,5901,Miscellaneous Expenses,53658.00,,Being goods/services from Orient Glass House inv SI042/2056,PurchaseModule,ACCT-3,
PUR-00057,Purchase,2025-01-16,2025-01-17 14:48,2301,GST Input Credit,9658.44,,GST input on SI042/2056,PurchaseModule,ACCT-3,
