invoice_no,invoice_date,vendor_id,vendor_name,gstin,taxable_value,tax_amount,total,voucher_id
SI017/2034,2024-08-22,V-017,Pioneer Plastics,36ZZ1017A1Z9,63315.00,11396.70,74711.70,PUR-00035
SI032/2035,2025-01-08,V-032,Everest Scaffolding,33ZZ1032A1Z4,74190.00,13354.20,87544.20,PUR-00036
SI032/2036,2024-05-07,V-032,Everest Scaffolding,33ZZ1032A1Z4,150387.00,27069.66,177456.66,PUR-00037
SI011/2037,2024-06-11,V-011,Kaveri Transport Co,36ZZ1011A1Z7,83944.00,15109.92,99053.92,PUR-00038
SI021/2038,2024-05-22,V-021,Trident Tools Ltd,07ZZ1021A1Z7,3484.00,627.12,4111.12,PUR-00039
SI028/2039,2024-07-23,V-028,Anand Auto Parts,24ZZ1028A1Z6,59386.00,10689.48,70075.48,PUR-00040
SI025/2040,2024-06-10,V-025,Xpress Couriers,29ZZ1025A1Z5,141994.00,25558.92,167552.92,PUR-00041
SI031/2041,2024-05-30,V-031,Divya Safety Equipments,29ZZ1031A1Z7,53281.00,9590.58,62871.58,PUR-00042
SI028/2042,2024-07-06,V-028,Anand Auto Parts,24ZZ1028A1Z6,108625.00,19552.50,128177.50,PUR-00043
SI036/2043,2024-12-06,V-036,Imperial Paints,27ZZ1036A1Z2,213866.00,38495.88,252361.88,PUR-00044
SI041/2044,2024-06-01,V-041,National Weighbridge,36ZZ1041A1Z7,154346.00,27782.28,182128.28,PUR-00045
SI035/2045,2024-08-19,V-035,Hitech Instruments,36ZZ1035A1Z5,176252.00,31725.36,207977.36,PUR-00046
SI005/2046,2024-09-08,V-005,Eastern Electricals,36ZZ1005A1Z5,169614.00,30530.52,200144.52,PUR-00047
SI006/2047,2024-10-18,V-006,Fortune Chemicals,27ZZ1006A1Z2,130013.00,23402.34,153415.34,PUR-00048
SI026/2048,2024-06-26,V-026,Yamuna Enterprises,33ZZ1026A1Z2,170367.00,30666.06,201033.06,PUR-00049
SI041/2049,2025-01-13,V-041,National Weighbridge,36ZZ1041A1Z7,124163.00,22349.34,146512.34,PUR-00050
SI043/2050,2024-05-07,V-043,Prakash Machinery,29ZZ1043A1Z1,190913.00,34364.34,225277.34,PUR-00051
SI023/2051,2024-08-11,V-023,Venus Adhesives,36ZZ1023A1Z1,92367.00,16626.06,108993.06,PUR-00052
SI045/2052,2024-10-19,V-045,Silverline Pipes,07ZZ1045A1Z5,20513.00,3692.34,24205.34,PUR-00053
SI022/2053,2024-09-18,V-022,Universal Bearings,24ZZ1022A1Z4,176316.00,31736.88,208052.88,PUR-00054
SI026/2054,2024-04-16,V-026,Yamuna Enterprises,33ZZ1026A1Z2,78482.00,14126.76,92608.76,PUR-00055
SI025/2055,2025-03-31,V-025,Xpress Couriers,29ZZ1025A1Z5,38818.00,6987.24,45805.24,PUR-00056
SI042/2056,2025-01-16,V-042,Orient Glass House,27ZZ1042A1Z4,53658.00,9658.44,63316.44,PUR-00057
SI042/2057,2024-10-28,V-042,Orient Glass House,27ZZ1042A1Z4,166484.00,29967.12,196451.12,PUR-00058
SI021/2058,2024-10-15,V-021,Trident Tools Ltd,07ZZ1021A1Z7,163428.00,29417.04,192845.04,PUR-00059
SI027/2059,2024-08-09,V-027,Zenith Abrasives,07ZZ1027A1Z9,35489.00,6388.02,41877.02,PUR-00060
SI013/2060,2025-01-19,V-013,Madras Hardware Mart,29ZZ1013A1Z1,82902.00,14922.36,97824.36,PUR-00061
SI011/2061,2024-04-06,V-011,Kaveri Transport Co,36ZZ1011A1Z7,121538.00,21876.84,143414.84,PUR-00062
SI017/2062,2024-05-27,V-017,Pioneer Plastics,36ZZ1017A1Z9,204304.00,36774.72,241078.72,PUR-00063
SI037/2063,2024-11-18,V-037,Jyoti Electrodes,29ZZ1037A1Z9,53831.00,9689.58,63520.58,PUR-00064
SI018/2064,2024-11-01,V-018,Quality Fasteners,27ZZ1018A1Z6,19885.00,3579.30,23464.30,PUR-00065
SI001/2065,2024-12-21,V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,180415.00,32474.70,212889.70,PUR-00066
SI028/2066,2024-12-07,V-028,Anand Auto Parts,24ZZ1028A1Z6,208406.00,37513.08,245919.08,PUR-00067
SI030/2067,2025-03-08,V-030,Crescent Ceramics,27ZZ1030A1Z0,109513.00,19712.34,129225.34,PUR-00068
SI020/2068,2024-05-29,V-020,Sunrise Solvents,33ZZ1020A1Z0,156117.00,28101.06,184218.06,PUR-00069
SI031/2069,2024-07-25,V-031,Divya Safety Equipments,29ZZ1031A1Z7,146008.00,26281.44,172289.44,PUR-00070
SI022/2070,2024-08-09,V-022,Universal Bearings,24ZZ1022A1Z4,116555.00,20979.90,137534.90,PUR-00071
SI007/2071,2025-02-12,V-007,Ganga Traders,29ZZ1007A1Z9,38429.00,6917.22,45346.22,PUR-00072
SI003/2072,2024-07-27,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,134043.00,24127.74,158170.74,PUR-00073
SI013/2073,2024-10-18,V-013,Madras Hardware Mart,29ZZ1013A1Z1,37343.00,6721.74,44064.74,PUR-00074
SI018/2074,2025-01-26,V-018,Quality Fasteners,27ZZ1018A1Z6,58464.00,10523.52,68987.52,PUR-00075
SI043/2075,2024-07-22,V-043,Prakash Machinery,29ZZ1043A1Z1,9048.00,1628.64,10676.64,PUR-00076
SI025/2076,2024-06-19,V-025,Xpress Couriers,29ZZ1025A1Z5,59404.00,10692.72,70096.72,PUR-00077
SI039/2077,2025-03-24,V-039,Liberty Rubber Works,07ZZ1039A1Z3,197941.00,35629.38,233570.38,PUR-00078
SI041/2078,2024-12-22,V-041,National Weighbridge,36ZZ1041A1Z7,72739.00,13093.02,85832.02,PUR-00079
SI009/2079,2024-08-01,V-009,Indus Metal Works,07ZZ1009A1Z3,131839.00,23731.02,155570.02,PUR-00080
SI036/2080,2024-06-15,V-036,Imperial Paints,27ZZ1036A1Z2,49640.00,8935.20,58575.20,PUR-00081
SI031/2081,2024-06-24,V-031,Divya Safety Equipments,29ZZ1031A1Z7,134415.00,24194.70,158609.70,PUR-00082
SI006/2082,2024-07-25,V-006,Fortune Chemicals,27ZZ1006A1Z2,87046.00,15668.28,102714.28,PUR-00083
SI017/2083,2024-10-02,V-017,Pioneer Plastics,36ZZ1017A1Z9,60919.00,10965.42,71884.42,PUR-00084
SI003/2084,2024-04-26,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,237502.00,42750.36,280252.36,PUR-00085
SI023/2085,2024-11-02,V-023,Venus Adhesives,36ZZ1023A1Z1,126626.00,22792.68,149418.68,PUR-00086
SI040/2086,2025-03-13,V-040,Mount Cables,24ZZ1040A1Z0,225998.00,40679.64,266677.64,PUR-00087
SI008/2087,2024-12-29,V-008,Himalaya Papers,33ZZ1008A1Z6,24795.00,4463.10,29258.10,PUR-00088
SI039/2088,2024-09-11,V-039,Liberty Rubber Works,07ZZ1039A1Z3,83297.00,14993.46,98290.46,PUR-00089
SI037/2089,2025-01-27,V-037,Jyoti Electrodes,29ZZ1037A1Z9,6919.00,1245.42,8164.42,PUR-00090
SI022/2090,2024-10-10,V-022,Universal Bearings,24ZZ1022A1Z4,143948.00,25910.64,169858.64,PUR-00091
SI005/2091,2024-07-04,V-005,Eastern Electricals,36ZZ1005A1Z5,137375.00,24727.50,162102.50,PUR-00092
SI030/2092,2024-09-11,V-030,Crescent Ceramics,27ZZ1030A1Z0,40654.00,7317.72,47971.72,PUR-00093
SI025/2093,2024-10-29,V-025,Xpress Couriers,29ZZ1025A1Z5,175635.00,31614.30,207249.30,PUR-00094
SI031/2094,2025-01-09,V-031,Divya Safety Equipments,29ZZ1031A1Z7,154326.00,27778.68,182104.68,PUR-00095
SI001/2095,2024-06-02,V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,118412.00,21314.16,139726.16,PUR-00096
SI040/2096,2024-04-14,V-040,Mount Cables,24ZZ1040A1Z0,56703.00,10206.54,66909.54,PUR-00097
SI041/2097,2024-06-30,V-041,National Weighbridge,36ZZ1041A1Z7,235725.00,42430.50,278155.50,PUR-00098
SI015/2098,2024-11-10,V-015,Noble Printing Press,07ZZ1015A1Z5,82601.00,14868.18,97469.18,PUR-00099
SI014/2099,2024-08-06,V-014,Shree Ram Traders,33ZZ1014A1Z8,127818.00,23007.24,150825.24,PUR-00100
SI038/2100,2024-07-23,V-038,Krishna Cement Agency,33ZZ1038A1Z6,38529.00,6935.22,45464.22,PUR-00101
SI034/2101,2024-08-14,V-034,Green Valley Agro,24ZZ1034A1Z8,2759.00,496.62,3255.62,PUR-00102
SI026/2102,2025-02-24,V-026,Yamuna Enterprises,33ZZ1026A1Z2,59883.00,10778.94,70661.94,PUR-00103
SI009/2103,2024-07-26,V-009,Indus Metal Works,07ZZ1009A1Z3,156103.00,28098.54,184201.54,PUR-00104
SI008/2104,2025-02-21,V-008,Himalaya Papers,33ZZ1008A1Z6,107859.00,19414.62,127273.62,PUR-00105
SI031/2105,2024-08-11,V-031,Divya Safety Equipments,29ZZ1031A1Z7,30557.00,5500.26,36057.26,PUR-00106
SI016/2106,2025-02-27,V-016,Omkar Engineering,24ZZ1016A1Z2,118011.00,21241.98,139252.98,PUR-00107
SI014/2107,2024-07-18,V-014,Shree Ram Traders,33ZZ1014A1Z8,81248.00,14624.64,95872.64,PUR-00108
SI045/2108,2024-11-24,V-045,Silverline Pipes,07ZZ1045A1Z5,224759.00,40456.62,265215.62,PUR-00109
SI018/2109,2024-11-18,V-018,Quality Fasteners,27ZZ1018A1Z6,94669.00,17040.42,111709.42,PUR-00110
SI023/2110,2024-05-01,V-023,Venus Adhesives,36ZZ1023A1Z1,85701.00,15426.18,101127.18,PUR-00111
SI030/2111,2024-07-09,V-030,Crescent Ceramics,27ZZ1030A1Z0,97436.00,17538.48,114974.48,PUR-00112
SI027/2112,2024-12-16,V-027,Zenith Abrasives,07ZZ1027A1Z9,139703.00,25146.54,164849.54,PUR-00113
SI034/2113,2024-05-21,V-034,Green Valley Agro,24ZZ1034A1Z8,48009.00,8641.62,56650.62,PUR-00114
SI020/2114,2024-12-15,V-020,Sunrise Solvents,33ZZ1020A1Z0,28441.00,5119.38,33560.38,PUR-00115
SI038/2115,2024-12-25,V-038,Krishna Cement Agency,33ZZ1038A1Z6,10744.00,1933.92,12677.92,PUR-00116
SI011/2116,2025-03-08,V-011,Kaveri Transport Co,36ZZ1011A1Z7,198302.00,35694.36,233996.36,PUR-00117
SI013/2117,2024-06-08,V-013,Madras Hardware Mart,29ZZ1013A1Z1,187645.00,33776.10,221421.10,PUR-00118
SI034/2118,2024-06-02,V-034,Green Valley Agro,24ZZ1034A1Z8,88769.00,15978.42,104747.42,PUR-00119
SI030/2119,2024-12-24,V-030,Crescent Ceramics,27ZZ1030A1Z0,140901.00,25362.18,166263.18,PUR-00120
SI030/2120,2024-04-20,V-030,Crescent Ceramics,27ZZ1030A1Z0,120924.00,21766.32,142690.32,PUR-00121
SI017/2121,2024-08-03,V-017,Pioneer Plastics,36ZZ1017A1Z9,67725.00,12190.50,79915.50,PUR-00122
SI034/2122,2024-09-01,V-034,Green Valley Agro,24ZZ1034A1Z8,25937.00,4668.66,30605.66,PUR-00123
SI041/2123,2024-05-16,V-041,National Weighbridge,36ZZ1041A1Z7,175395.00,31571.10,206966.10,PUR-00124
SI013/2124,2024-06-01,V-013,Madras Hardware Mart,29ZZ1013A1Z1,42916.00,7724.88,50640.88,PUR-00125
SI007/2125,2024-12-25,V-007,Ganga Traders,29ZZ1007A1Z9,156829.00,28229.22,185058.22,PUR-00126
SI022/2126,2024-11-08,V-022,Universal Bearings,24ZZ1022A1Z4,178296.00,32093.28,210389.28,PUR-00127
SI023/2127,2025-01-20,V-023,Venus Adhesives,36ZZ1023A1Z1,131157.00,23608.26,154765.26,PUR-00128
SI023/2128,2024-10-14,V-023,Venus Adhesives,36ZZ1023A1Z1,74559.00,13420.62,87979.62,PUR-00129
SI008/2129,2024-06-30,V-008,Himalaya Papers,33ZZ1008A1Z6,61406.00,11053.08,72459.08,PUR-00130
SI002/2130,2024-09-28,V-002,Balaji Packaging Co,33ZZ1002A1Z4,163833.00,29489.94,193322.94,PUR-00131
SI031/2131,2024-05-27,V-031,Divya Safety Equipments,29ZZ1031A1Z7,233660.00,42058.80,275718.80,PUR-00132
SI025/2132,2024-12-09,V-025,Xpress Couriers,29ZZ1025A1Z5,127540.00,22957.20,150497.20,PUR-00133
SI038/2133,2024-06-20,V-038,Krishna Cement Agency,33ZZ1038A1Z6,119312.00,21476.16,140788.16,PUR-00134
SI023/2134,2025-03-26,V-023,Venus Adhesives,36ZZ1023A1Z1,101804.00,18324.72,120128.72,PUR-00135
SI043/2135,2024-08-01,V-043,Prakash Machinery,29ZZ1043A1Z1,151349.00,27242.82,178591.82,PUR-00136
SI042/2136,2025-03-15,V-042,Orient Glass House,27ZZ1042A1Z4,167875.00,30217.50,198092.50,PUR-00137
SI026/2137,2024-10-31,V-026,Yamuna Enterprises,33ZZ1026A1Z2,164034.00,29526.12,193560.12,PUR-00138
SI004/2138,2024-04-27,V-004,Deccan Logistics,24ZZ1004A1Z8,100590.00,18106.20,118696.20,PUR-00139
SI014/2139,2024-11-23,V-014,Shree Ram Traders,33ZZ1014A1Z8,56070.00,10092.60,66162.60,PUR-00140
SI030/2140,2025-01-23,V-030,Crescent Ceramics,27ZZ1030A1Z0,201247.00,36224.46,237471.46,PUR-00141
SI022/2141,2024-08-26,V-022,Universal Bearings,24ZZ1022A1Z4,42007.00,7561.26,49568.26,PUR-00142
SI025/2142,2024-06-28,V-025,Xpress Couriers,29ZZ1025A1Z5,130149.00,23426.82,153575.82,PUR-00143
SI027/2143,2025-02-15,V-027,Zenith Abrasives,07ZZ1027A1Z9,100673.00,18121.14,118794.14,PUR-00144
SI025/2144,2024-10-29,V-025,Xpress Couriers,29ZZ1025A1Z5,119746.00,21554.28,141300.28,PUR-00145
SI032/2145,2024-07-26,V-032,Everest Scaffolding,33ZZ1032A1Z4,124944.00,22489.92,147433.92,PUR-00146
SI008/2146,2025-02-08,V-008,Himalaya Papers,33ZZ1008A1Z6,225102.00,40518.36,265620.36,PUR-00147
SI004/2147,2024-10-18,V-004,Deccan Logistics,24ZZ1004A1Z8,31941.00,5749.38,37690.38,PUR-00148
SI030/2148,2024-05-19,V-030,Crescent Ceramics,27ZZ1030A1Z0,141952.00,25551.36,167503.36,PUR-00149
SI037/2149,2024-04-05,V-037,Jyoti Electrodes,29ZZ1037A1Z9,25463.00,4583.34,30046.34,PUR-00150
SI020/2150,2025-03-09,V-020,Sunrise Solvents,33ZZ1020A1Z0,172228.00,31001.04,203229.04,PUR-00151
SI014/2151,2025-03-20,V-014,Shree Ram Traders,33ZZ1014A1Z8,136852.00,24633.36,161485.36,PUR-00152
SI011/2152,2025-02-16,V-011,Kaveri Transport Co,36ZZ1011A1Z7,207057.00,37270.26,244327.26,PUR-00153
SI013/2153,2024-05-05,V-013,Madras Hardware Mart,29ZZ1013A1Z1,212619.00,38271.42,250890.42,PUR-00154
SI007/2154,2024-08-17,V-007,Ganga Traders,29ZZ1007A1Z9,68257.00,12286.26,80543.26,PUR-00155
SI032/2155,2024-07-20,V-032,Everest Scaffolding,33ZZ1032A1Z4,213043.00,38347.74,251390.74,PUR-00156
SI037/2156,2024-08-21,V-037,Jyoti Electrodes,29ZZ1037A1Z9,107125.00,19282.50,126407.50,PUR-00157
SI001/2157,2024-08-03,V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,153148.00,27566.64,180714.64,PUR-00158
SI033/2158,2024-11-14,V-033,Falcon Security Services,07ZZ1033A1Z1,54631.00,9833.58,64464.58,PUR-00159
SI031/2159,2024-05-20,V-031,Divya Safety Equipments,29ZZ1031A1Z7,73661.00,13258.98,86919.98,PUR-00160
SI029/2160,2025-03-02,V-029,Bharat Lubricants,36ZZ1029A1Z3,88281.00,15890.58,104171.58,PUR-00161
SI020/2161,2024-08-24,V-020,Sunrise Solvents,33ZZ1020A1Z0,122375.00,22027.50,144402.50,PUR-00162
SI005/2162,2024-10-25,V-005,Eastern Electricals,36ZZ1005A1Z5,158642.00,28555.56,187197.56,PUR-00163
SI013/2163,2024-06-01,V-013,Madras Hardware Mart,29ZZ1013A1Z1,43982.00,7916.76,51898.76,PUR-00164
SI043/2164,2024-10-21,V-043,Prakash Machinery,29ZZ1043A1Z1,67300.00,12114.00,79414.00,PUR-00165
SI009/2165,2025-01-07,V-009,Indus Metal Works,07ZZ1009A1Z3,217362.00,39125.16,256487.16,PUR-00166
SI018/2166,2025-03-30,V-018,Quality Fasteners,27ZZ1018A1Z6,102589.00,18466.02,121055.02,PUR-00167
SI028/2167,2025-01-03,V-028,Anand Auto Parts,24ZZ1028A1Z6,218793.00,39382.74,258175.74,PUR-00168
SI002/2168,2024-10-18,V-002,Balaji Packaging Co,33ZZ1002A1Z4,192965.00,34733.70,227698.70,PUR-00169
SI010/2169,2024-06-09,V-010,Jaipur Textiles House,24ZZ1010A1Z0,2112.00,380.16,2492.16,PUR-00170
SI026/2170,2024-06-09,V-026,Yamuna Enterprises,33ZZ1026A1Z2,128366.00,23105.88,151471.88,PUR-00171
SI041/2171,2024-06-06,V-041,National Weighbridge,36ZZ1041A1Z7,35236.00,6342.48,41578.48,PUR-00172
SI012/2172,2025-03-23,V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,85941.00,15469.38,101410.38,PUR-00173
SI019/2173,2024-11-17,V-019,Royal Stationers,29ZZ1019A1Z3,134204.00,24156.72,158360.72,PUR-00174
SI006/2174,2024-12-08,V-006,Fortune Chemicals,27ZZ1006A1Z2,232281.00,41810.58,274091.58,PUR-00175
SI025/2175,2024-07-23,V-025,Xpress Couriers,29ZZ1025A1Z5,49289.00,8872.02,58161.02,PUR-00176
SI027/2176,2024-07-14,V-027,Zenith Abrasives,07ZZ1027A1Z9,182324.00,32818.32,215142.32,PUR-00177
SI023/2177,2024-08-20,V-023,Venus Adhesives,36ZZ1023A1Z1,164060.00,29530.80,193590.80,PUR-00178
SI039/2178,2025-02-18,V-039,Liberty Rubber Works,07ZZ1039A1Z3,213647.00,38456.46,252103.46,PUR-00179
SI038/2179,2024-07-13,V-038,Krishna Cement Agency,33ZZ1038A1Z6,222018.00,39963.24,261981.24,PUR-00180
SI007/2180,2025-03-19,V-007,Ganga Traders,29ZZ1007A1Z9,38101.00,6858.18,44959.18,PUR-00181
SI033/2181,2024-10-12,V-033,Falcon Security Services,07ZZ1033A1Z1,108530.00,19535.40,128065.40,PUR-00182
SI014/2182,2024-04-30,V-014,Shree Ram Traders,33ZZ1014A1Z8,173610.00,31249.80,204859.80,PUR-00183
SI045/2183,2024-10-30,V-045,Silverline Pipes,07ZZ1045A1Z5,119525.00,21514.50,141039.50,PUR-00184
SI043/2184,2024-05-03,V-043,Prakash Machinery,29ZZ1043A1Z1,88700.00,15966.00,104666.00,PUR-00185
SI022/2185,2024-12-19,V-022,Universal Bearings,24ZZ1022A1Z4,26119.00,4701.42,30820.42,PUR-00186
SI026/2186,2024-11-06,V-026,Yamuna Enterprises,33ZZ1026A1Z2,197881.00,35618.58,233499.58,PUR-00187
SI037/2187,2025-01-26,V-037,Jyoti Electrodes,29ZZ1037A1Z9,160949.00,28970.82,189919.82,PUR-00188
SI039/2188,2024-09-11,V-039,Liberty Rubber Works,07ZZ1039A1Z3,180637.00,32514.66,213151.66,PUR-00189
SI028/2189,2024-07-03,V-028,Anand Auto Parts,24ZZ1028A1Z6,50896.00,9161.28,60057.28,PUR-00190
SI017/2190,2024-08-10,V-017,Pioneer Plastics,36ZZ1017A1Z9,73284.00,13191.12,86475.12,PUR-00191
SI045/2191,2024-11-29,V-045,Silverline Pipes,07ZZ1045A1Z5,153995.00,27719.10,181714.10,PUR-00192
SI034/2192,2024-05-04,V-034,Green Valley Agro,24ZZ1034A1Z8,225367.00,40566.06,265933.06,PUR-00193
SI022/2193,2025-03-09,V-022,Universal Bearings,24ZZ1022A1Z4,110697.00,19925.46,130622.46,PUR-00194
SI042/2194,2024-06-03,V-042,Orient Glass House,27ZZ1042A1Z4,14024.00,2524.32,16548.32,PUR-00195
SI010/2195,2024-05-27,V-010,Jaipur Textiles House,24ZZ1010A1Z0,100141.00,18025.38,118166.38,PUR-00196
SI021/2196,2025-02-24,V-021,Trident Tools Ltd,07ZZ1021A1Z7,114480.00,20606.40,135086.40,PUR-00197
SI001/2197,2025-01-11,V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,85652.00,15417.36,101069.36,PUR-00198
SI016/2198,2024-10-11,V-016,Omkar Engineering,24ZZ1016A1Z2,132576.00,23863.68,156439.68,PUR-00199
SI034/2199,2024-04-15,V-034,Green Valley Agro,24ZZ1034A1Z8,27825.00,5008.50,32833.50,PUR-00200
SI025/2200,2024-07-23,V-025,Xpress Couriers,29ZZ1025A1Z5,6907.00,1243.26,8150.26,PUR-00201
SI035/2201,2025-03-21,V-035,Hitech Instruments,36ZZ1035A1Z5,10958.00,1972.44,12930.44,PUR-00202
SI014/2202,2024-10-02,V-014,Shree Ram Traders,33ZZ1014A1Z8,108046.00,19448.28,127494.28,PUR-00203
SI030/2203,2024-09-20,V-030,Crescent Ceramics,27ZZ1030A1Z0,8940.00,1609.20,10549.20,PUR-00204
SI031/2204,2024-08-17,V-031,Divya Safety Equipments,29ZZ1031A1Z7,124334.00,22380.12,146714.12,PUR-00205
SI030/2205,2024-06-27,V-030,Crescent Ceramics,27ZZ1030A1Z0,239685.00,43143.30,282828.30,PUR-00206
SI004/2206,2024-04-28,V-004,Deccan Logistics,24ZZ1004A1Z8,239711.00,43147.98,282858.98,PUR-00207
SI029/2207,2024-08-12,V-029,Bharat Lubricants,36ZZ1029A1Z3,74901.00,13482.18,88383.18,PUR-00208
SI028/2208,2024-10-31,V-028,Anand Auto Parts,24ZZ1028A1Z6,14500.00,2610.00,17110.00,PUR-00209
SI002/2209,2024-08-07,V-002,Balaji Packaging Co,33ZZ1002A1Z4,57193.00,10294.74,67487.74,PUR-00210
SI021/2210,2024-11-30,V-021,Trident Tools Ltd,07ZZ1021A1Z7,80054.00,14409.72,94463.72,PUR-00211
SI019/2211,2024-07-05,V-019,Royal Stationers,29ZZ1019A1Z3,141660.00,25498.80,167158.80,PUR-00212
SI040/2212,2024-05-28,V-040,Mount Cables,24ZZ1040A1Z0,237114.00,42680.52,279794.52,PUR-00213
SI023/2213,2024-05-08,V-023,Venus Adhesives,36ZZ1023A1Z1,190781.00,34340.58,225121.58,PUR-00214
SI031/2214,2024-05-25,V-031,Divya Safety Equipments,29ZZ1031A1Z7,35594.00,6406.92,42000.92,PUR-00215
SI003/2215,2024-06-14,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,72506.00,13051.08,85557.08,PUR-00216
SI026/2216,2025-03-17,V-026,Yamuna Enterprises,33ZZ1026A1Z2,216257.00,38926.26,255183.26,PUR-00217
SI039/2217,2024-11-21,V-039,Liberty Rubber Works,07ZZ1039A1Z3,15583.00,2804.94,18387.94,PUR-00218
SI043/2218,2024-06-06,V-043,Prakash Machinery,29ZZ1043A1Z1,138153.00,24867.54,163020.54,PUR-00219
SI001/2219,2024-09-28,V-001,Agarwal Steel Suppliers,29ZZ1001A1Z7,157339.00,28321.02,185660.02,PUR-00220
SI042/2220,2025-01-23,V-042,Orient Glass House,27ZZ1042A1Z4,72640.00,13075.20,85715.20,PUR-00221
