date,voucher_id,reference,debit,credit,narration
2024-05-17,RCT-00928,UTR5247,200568.14,,Receipt Customer 020 Retail
2024-05-18,PMT-00807,NEFT5126,,265933.06,Payment Green Valley Agro
2024-05-19,PMT-00749,NEFT5068,,66909.54,Payment Mount Cables
2024-05-20,PMT-00820,NEFT5139,,225121.58,Payment Venus Adhesives
2024-05-21,RCT-01050,UTR5369,34826.52,,Receipt Customer 028 Retail
2024-05-22,PMT-00824,NEFT5143,,50056.78,Payment Krishna Cement Agency
2024-05-22,RCT-00895,UTR5214,37017.78,,Receipt Customer 011 Retail
2024-05-23,PMT-00863,NEFT5182,,238493.34,Payment Imperial Paints
2024-05-23,RCT-00907,UTR5226,338879.48,,Receipt Customer 002 Retail
2024-05-24,RCT-01003,UTR5322,125586.22,,Receipt Customer 018 Retail
2024-05-25,PMT-00716,NEFT5035,,225277.34,Payment Prakash Machinery
2024-05-25,RCT-00984,UTR5303,305400.52,,Receipt Customer 011 Retail
2024-05-26,PMT-00763,NEFT5082,,142690.32,Payment Crescent Ceramics
2024-05-26,RCT-01133,UTR5452,317176.92,,Receipt Customer 019 Retail
2024-05-27,RCT-00980,UTR5299,264441.54,,Receipt Customer 018 Retail
2024-05-27,RCT-01117,UTR5436,279583.30,,Receipt Customer 002 Retail
2024-05-28,PMT-00757,NEFT5076,,101127.18,Payment Venus Adhesives
2024-05-28,RCT-01073,UTR5392,207158.44,,Receipt Customer 003 Retail
2024-05-28,RCT-01112,UTR5431,297538.18,,Receipt Customer 007 Retail
2024-05-28,RCT-01132,UTR5451,338945.56,,Receipt Customer 008 Retail
2024-05-29,RCT-00945,UTR5264,442233.32,,Receipt Customer 007 Retail
2024-05-29,RCT-01054,UTR5373,39955.98,,Receipt Customer 016 Retail
2024-05-30,PMT-00802,NEFT5121,,104666.00,Payment Prakash Machinery
2024-05-31,RCT-00985,UTR5304,364273.08,,Receipt Customer 001 Retail
2024-06-01,PMT-00708,NEFT5027,,177456.66,Payment Everest Scaffolding
2024-06-02,PMT-00766,NEFT5085,,206966.10,Payment National Weighbridge
2024-06-06,PMT-00690,NEFT5009,,69916.18,Payment Jyoti Electrodes
2024-06-07,PMT-00724,NEFT5043,,241078.72,Payment Pioneer Plastics
2024-06-07,PMT-00784,NEFT5103,,250890.42,Payment Madras Hardware Mart
2024-06-08,PMT-00701,NEFT5020,,103009.28,Payment Sunrise Solvents
2024-06-09,PMT-00826,NEFT5145,,195490.60,Payment Falcon Security Services
2024-06-10,PMT-00809,NEFT5128,,118166.38,Payment Jaipur Textiles House
2024-06-11,RCT-01002,UTR5321,178947.00,,Receipt Customer 010 Retail
2024-06-12,PMT-00821,NEFT5140,,42000.92,Payment Divya Safety Equipments
2024-06-12,RCT-01016,UTR5335,406122.96,,Receipt Customer 021 Retail
2024-06-12,RCT-01137,UTR5456,148486.48,,Receipt Customer 010 Retail
2024-06-13,PMT-00840,NEFT5159,,4360.10,Payment Venus Adhesives
2024-06-14,RCT-01101,UTR5420,66372.64,,Receipt Customer 017 Retail
2024-06-15,RCT-01038,UTR5357,332625.48,,Receipt Customer 007 Retail
2024-06-16,RCT-01053,UTR5372,143674.44,,Receipt Customer 021 Retail
2024-06-16,RCT-01122,UTR5441,409825.80,,Receipt Customer 012 Retail
2024-06-17,RCT-01119,UTR5438,175306.70,,Receipt Customer 020 Retail
2024-06-18,PMT-00691,NEFT5010,,9560.36,Payment Crescent Ceramics
2024-06-18,PMT-00710,NEFT5029,,62871.58,Payment Divya Safety Equipments
2024-06-18,PMT-00819,NEFT5138,,279794.52,Payment Mount Cables
2024-06-18,RCT-01135,UTR5454,106428.92,,Receipt Customer 006 Retail
2024-06-19,PMT-00681,NEFT5000,,186685.44,Payment Anand Auto Parts
2024-06-20,PMT-00790,NEFT5109,,51898.76,Payment Madras Hardware Mart
2024-06-21,PMT-00808,NEFT5127,,16548.32,Payment Orient Glass House
2024-06-21,PMT-00842,NEFT5161,,160313.62,Payment Venus Adhesives
2024-06-21,RCT-01028,UTR5347,245869.52,,Receipt Customer 014 Retail
2024-06-22,PMT-00713,NEFT5032,,182128.28,Payment National Weighbridge
2024-06-22,PMT-00748,NEFT5067,,139726.16,Payment Agarwal Steel Suppliers
2024-06-23,PMT-00760,NEFT5079,,56650.62,Payment Green Valley Agro
2024-06-28,PMT-00860,NEFT5179,,160551.98,Payment Krishna Cement Agency
2024-06-28,RCT-00967,UTR5286,123764.30,,Receipt Customer 015 Retail
2024-06-28,RCT-01114,UTR5433,121235.56,,Receipt Customer 011 Retail
2024-06-29,PMT-00794,NEFT5113,,41578.48,Payment National Weighbridge
2024-06-29,RCT-00927,UTR5246,427950.60,,Receipt Customer 015 Retail
2024-06-30,RCT-00909,UTR5228,328891.96,,Receipt Customer 004 Retail
2024-06-30,RCT-00988,UTR5307,425149.28,,Receipt Customer 025 Retail
2024-07-01,PMT-00705,NEFT5024,,173900.14,Payment Omkar Engineering
2024-07-01,PMT-00735,NEFT5054,,70096.72,Payment Xpress Couriers
2024-07-01,PMT-00771,NEFT5090,,275718.80,Payment Divya Safety Equipments
2024-07-01,PMT-00850,NEFT5169,,265942.50,Payment Ganga Traders
2024-07-01,RCT-01104,UTR5423,314678.86,,Receipt Customer 030 Retail
2024-07-02,RCT-00947,UTR5266,296862.04,,Receipt Customer 003 Retail
2024-07-03,PMT-00709,NEFT5028,,167552.92,Payment Xpress Couriers
2024-07-03,RCT-01022,UTR5341,108261.46,,Receipt Customer 017 Retail
2024-07-03,RCT-01034,UTR5353,157383.68,,Receipt Customer 015 Retail
2024-07-06,PMT-00736,NEFT5055,,58575.20,Payment Imperial Paints
2024-07-06,PMT-00822,NEFT5141,,85557.08,Payment Chennai Polymers Pvt Ltd
2024-07-07,RCT-00917,UTR5236,88894.12,,Receipt Customer 030 Retail
2024-07-07,RCT-01035,UTR5354,417032.06,,Receipt Customer 006 Retail
2024-07-08,PMT-00767,NEFT5086,,50640.88,Payment Madras Hardware Mart
2024-07-08,RCT-00901,UTR5220,424035.36,,Receipt Customer 008 Retail
2024-07-10,PMT-00847,NEFT5166,,90455.26,Payment Indus Metal Works
2024-07-11,PMT-00864,NEFT5183,,110414.96,Payment Yamuna Enterprises
2024-07-11,RCT-00913,UTR5232,243266.44,,Receipt Customer 006 Retail
2024-07-12,RCT-00918,UTR5237,21293.10,,Receipt Customer 002 Retail
2024-07-12,RCT-00942,UTR5261,217706.46,,Receipt Customer 018 Retail
2024-07-12,RCT-01065,UTR5384,288388.46,,Receipt Customer 010 Retail
2024-07-13,RCT-01032,UTR5351,271729.22,,Receipt Customer 014 Retail
2024-07-14,RCT-00887,UTR5206,236215.94,,Receipt Customer 017 Retail
2024-07-14,RCT-00912,UTR5231,128897.30,,Receipt Customer 003 Retail
2024-07-14,RCT-01107,UTR5426,412784.06,,Receipt Customer 013 Retail
2024-07-15,PMT-00773,NEFT5092,,140788.16,Payment Krishna Cement Agency
2024-07-15,PMT-00815,NEFT5134,,282828.30,Payment Crescent Ceramics
2024-07-15,RCT-00903,UTR5222,199916.78,,Receipt Customer 024 Retail
2024-07-17,RCT-00997,UTR5316,216304.62,,Receipt Customer 030 Retail
2024-07-17,RCT-01058,UTR5377,18784.42,,Receipt Customer 028 Retail
2024-07-19,PMT-00793,NEFT5112,,151471.88,Payment Yamuna Enterprises
2024-07-20,PMT-00737,NEFT5056,,158609.70,Payment Divya Safety Equipments
2024-07-20,RCT-00882,UTR5201,171628.64,,Receipt Customer 030 Retail
2024-07-21,PMT-00858,NEFT5177,,251266.84,Payment Lakshmi Industrial Stores
2024-07-21,RCT-00876,UTR5195,339581.58,,Receipt Customer 023 Retail
2024-07-21,RCT-00914,UTR5233,355405.38,,Receipt Customer 003 Retail
2024-07-22,RCT-01100,UTR5419,342440.72,,Receipt Customer 030 Retail
2024-07-22,RCT-01106,UTR5425,98374.24,,Receipt Customer 003 Retail
2024-07-23,RCT-00922,UTR5241,353379.32,,Receipt Customer 008 Retail
2024-07-23,RCT-00964,UTR5283,93268.38,,Receipt Customer 019 Retail
2024-07-23,RCT-01092,UTR5411,154728.68,,Receipt Customer 006 Retail
2024-07-24,PMT-00831,NEFT5150,,162517.86,Payment Falcon Security Services
2024-07-24,RCT-01012,UTR5331,441578.42,,Receipt Customer 028 Retail
2024-07-26,PMT-00700,NEFT5019,,92608.76,Payment Ganga Traders
2024-07-26,RCT-00989,UTR5308,43018.08,,Receipt Customer 026 Retail
2024-07-27,PMT-00778,NEFT5097,,153575.82,Payment Xpress Couriers
2024-07-27,PMT-00827,NEFT5146,,148574.98,Payment Pioneer Plastics
2024-07-27,RCT-00930,UTR5249,81615.88,,Receipt Customer 005 Retail
2024-07-28,PMT-00744,NEFT5063,,162102.50,Payment Eastern Electricals
2024-07-29,RCT-01027,UTR5346,77608.60,,Receipt Customer 026 Retail
2024-07-30,PMT-00738,NEFT5057,,102714.28,Payment Fortune Chemicals
2024-07-30,PMT-00848,NEFT5167,,208577.98,Payment Jyoti Electrodes
2024-07-31,PMT-00734,NEFT5053,,10676.64,Payment Prakash Machinery
2024-07-31,PMT-00753,NEFT5072,,184201.54,Payment Indus Metal Works
2024-07-31,RCT-00958,UTR5277,439266.80,,Receipt Customer 022 Retail
2024-07-31,RCT-00999,UTR5318,241830.38,,Receipt Customer 008 Retail
2024-08-01,RCT-00975,UTR5294,208477.68,,Receipt Customer 023 Retail
2024-08-01,RCT-00977,UTR5296,400378.72,,Receipt Customer 026 Retail
2024-08-02,PMT-00711,NEFT5030,,128177.50,Payment Anand Auto Parts
2024-08-02,RCT-00879,UTR5198,68016.38,,Receipt Customer 025 Retail
2024-08-02,RCT-01041,UTR5360,359373.72,,Receipt Customer 020 Retail
2024-08-02,RCT-01089,UTR5408,226836.12,,Receipt Customer 011 Retail
2024-08-04,RCT-01000,UTR5319,245258.28,,Receipt Customer 016 Retail
2024-08-04,RCT-01081,UTR5400,119538.72,,Receipt Customer 022 Retail
2024-08-06,PMT-00798,NEFT5117,,215142.32,Payment Zenith Abrasives
2024-08-07,PMT-00750,NEFT5069,,45464.22,Payment Krishna Cement Agency
2024-08-09,PMT-00818,NEFT5137,,167158.80,Payment Royal Stationers
2024-08-09,RCT-01103,UTR5422,415853.24,,Receipt Customer 003 Retail
2024-08-10,RCT-00968,UTR5287,432039.30,,Receipt Customer 028 Retail
2024-08-10,RCT-01080,UTR5399,355576.48,,Receipt Customer 004 Retail
2024-08-11,RCT-01043,UTR5362,226678.00,,Receipt Customer 015 Retail
2024-08-12,PMT-00870,NEFT5189,,68641.78,Payment Falcon Security Services
2024-08-13,RCT-00949,UTR5268,233016.96,,Receipt Customer 028 Retail
2024-08-14,PMT-00731,NEFT5050,,158170.74,Payment Chennai Polymers Pvt Ltd
2024-08-14,RCT-00959,UTR5278,162452.96,,Receipt Customer 021 Retail
2024-08-15,RCT-01056,UTR5375,222094.88,,Receipt Customer 014 Retail
2024-08-15,RCT-01064,UTR5383,35958.14,,Receipt Customer 008 Retail
2024-08-16,PMT-00758,NEFT5077,,114974.48,Payment Crescent Ceramics
2024-08-16,PMT-00797,NEFT5116,,58161.02,Payment Xpress Couriers
2024-08-16,RCT-00881,UTR5200,416643.84,,Receipt Customer 021 Retail
2024-08-16,RCT-01011,UTR5330,145468.04,,Receipt Customer 007 Retail
2024-08-16,RCT-01039,UTR5358,177542.80,,Receipt Customer 001 Retail
2024-08-17,RCT-00957,UTR5276,124838.10,,Receipt Customer 028 Retail
2024-08-19,PMT-00729,NEFT5048,,137534.90,Payment Universal Bearings
2024-08-19,RCT-00995,UTR5314,242256.36,,Receipt Customer 013 Retail
2024-08-19,RCT-01099,UTR5418,421413.40,,Receipt Customer 008 Retail
2024-08-21,PMT-00811,NEFT5130,,8150.26,Payment Xpress Couriers
2024-08-21,RCT-00952,UTR5271,104234.12,,Receipt Customer 030 Retail
2024-08-24,PMT-00751,NEFT5070,,3255.62,Payment Green Valley Agro
2024-08-25,PMT-00805,NEFT5124,,86475.12,Payment Pioneer Plastics
2024-08-26,PMT-00787,NEFT5106,,126407.50,Payment Jyoti Electrodes
2024-08-27,PMT-00755,NEFT5074,,36057.26,Payment Divya Safety Equipments
2024-08-27,PMT-00786,NEFT5105,,251390.74,Payment Everest Scaffolding
2024-08-27,RCT-00941,UTR5260,26001.30,,Receipt Customer 017 Retail
2024-08-27,RCT-01049,UTR5368,63315.26,,Receipt Customer 012 Retail
2024-08-27,RCT-01068,UTR5387,250864.46,,Receipt Customer 011 Retail
2024-08-29,PMT-00683,NEFT5002,,128404.06,Payment Falcon Security Services
2024-08-29,PMT-00781,NEFT5100,,147433.92,Payment Everest Scaffolding
2024-08-29,PMT-00852,NEFT5171,,247306.76,Payment Falcon Security Services
2024-08-29,RCT-01021,UTR5340,183802.70,,Receipt Customer 012 Retail
2024-08-29,RCT-01048,UTR5367,262406.04,,Receipt Customer 006 Retail
2024-08-30,RCT-01060,UTR5379,323332.98,,Receipt Customer 017 Retail
2024-08-31,PMT-00814,NEFT5133,,146714.12,Payment Divya Safety Equipments
2024-09-01,PMT-00774,NEFT5093,,178591.82,Payment Prakash Machinery
2024-09-01,RCT-00898,UTR5217,371310.60,,Receipt Customer 003 Retail
2024-09-02,RCT-00948,UTR5267,293777.52,,Receipt Customer 001 Retail
2024-09-03,PMT-00693,NEFT5012,,87825.04,Payment Falcon Security Services
2024-09-04,RCT-01044,UTR5363,174101.92,,Receipt Customer 025 Retail
2024-09-04,RCT-01076,UTR5395,225231.32,,Receipt Customer 003 Retail
2024-09-08,PMT-00717,NEFT5036,,108993.06,Payment Venus Adhesives
2024-09-08,RCT-00937,UTR5256,14667.40,,Receipt Customer 001 Retail
2024-09-10,PMT-00688,NEFT5007,,62660.36,Payment Prakash Machinery
2024-09-10,PMT-00764,NEFT5083,,79915.50,Payment Pioneer Plastics
2024-09-10,RCT-01111,UTR5430,296408.92,,Receipt Customer 030 Retail
2024-09-12,RCT-00932,UTR5251,327969.20,,Receipt Customer 020 Retail
2024-09-12,RCT-01085,UTR5404,437446.06,,Receipt Customer 020 Retail
2024-09-13,PMT-00689,NEFT5008,,76820.36,Payment Kaveri Transport Co
2024-09-13,PMT-00706,NEFT5025,,74711.70,Payment Pioneer Plastics
2024-09-13,RCT-01115,UTR5434,330421.24,,Receipt Customer 005 Retail
2024-09-14,RCT-00883,UTR5202,421160.88,,Receipt Customer 030 Retail
2024-09-15,RCT-01024,UTR5343,76832.16,,Receipt Customer 023 Retail
2024-09-15,RCT-01098,UTR5417,335297.00,,Receipt Customer 028 Retail
2024-09-16,PMT-01142,NEFT5461,,49000.00,Payment Prakash Machinery
2024-09-17,PMT-00835,NEFT5154,,262573.60,Payment Universal Bearings
2024-09-18,PMT-00829,NEFT5148,,249339.90,Payment Hitech Instruments
2024-09-18,PMT-00833,NEFT5152,,73172.98,Payment Krishna Cement Agency
2024-09-18,PMT-01143,NEFT5462,,49500.00,Payment Prakash Machinery
2024-09-20,PMT-01144,NEFT5463,,48750.00,Payment Prakash Machinery
2024-09-21,PMT-00714,NEFT5033,,207977.36,Payment Hitech Instruments
2024-09-21,PMT-00745,NEFT5064,,47971.72,Payment Crescent Ceramics
2024-09-23,PMT-00682,NEFT5001,,14557.66,Payment Jyoti Electrodes
2024-09-23,PMT-00785,NEFT5104,,80543.26,Payment Ganga Traders
2024-09-23,PMT-00849,NEFT5168,,71303.86,Payment Omkar Engineering
2024-09-24,RCT-01010,UTR5329,247635.98,,Receipt Customer 022 Retail
2024-09-24,RCT-01097,UTR5416,384684.72,,Receipt Customer 021 Retail
2024-09-26,PMT-00788,NEFT5107,,144402.50,Payment Sunrise Solvents
2024-09-27,RCT-01138,UTR5457,79415.18,,Receipt Customer 010 Retail
2024-09-28,RCT-01025,UTR5344,391597.16,,Receipt Customer 003 Retail
2024-09-30,RCT-01079,UTR5398,126044.06,,Receipt Customer 013 Retail
2024-10-01,PMT-00719,NEFT5038,,208052.88,Payment Universal Bearings
2024-10-02,PMT-00777,NEFT5096,,49568.26,Payment Universal Bearings
2024-10-02,RCT-01110,UTR5429,306063.68,,Receipt Customer 016 Retail
2024-10-05,RCT-01109,UTR5428,261683.88,,Receipt Customer 019 Retail
2024-10-06,PMT-00770,NEFT5089,,193322.94,Payment Balaji Packaging Co
2024-10-06,RCT-01120,UTR5439,442399.70,,Receipt Customer 006 Retail
2024-10-07,PMT-00765,NEFT5084,,30605.66,Payment Green Valley Agro
2024-10-07,RCT-00886,UTR5205,392498.68,,Receipt Customer 029 Retail
2024-10-08,PMT-00695,NEFT5014,,76292.90,Payment Hitech Instruments
2024-10-08,RCT-00906,UTR5225,29301.76,,Receipt Customer 014 Retail
2024-10-08,RCT-00996,UTR5315,378108.58,,Receipt Customer 023 Retail
2024-10-10,RCT-01006,UTR5325,328868.36,,Receipt Customer 010 Retail
2024-10-12,PMT-00702,NEFT5021,,201778.82,Payment Xpress Couriers
2024-10-12,RCT-01029,UTR5348,265928.34,,Receipt Customer 003 Retail
2024-10-14,PMT-00813,NEFT5132,,10549.20,Payment Crescent Ceramics
2024-10-14,RCT-01096,UTR5415,155585.36,,Receipt Customer 011 Retail
2024-10-15,RCT-01023,UTR5342,412296.72,,Receipt Customer 012 Retail
2024-10-17,RCT-00897,UTR5216,373752.02,,Receipt Customer 008 Retail
2024-10-18,PMT-00715,NEFT5034,,200144.52,Payment Eastern Electricals
2024-10-22,RCT-01045,UTR5364,78329.58,,Receipt Customer 014 Retail
2024-10-24,PMT-00812,NEFT5131,,127494.28,Payment Shree Ram Traders
2024-10-24,RCT-00891,UTR5210,131638.44,,Receipt Customer 020 Retail
2024-10-25,PMT-00732,NEFT5051,,44064.74,Payment Madras Hardware Mart
2024-10-25,RCT-00973,UTR5292,239857.42,,Receipt Customer 028 Retail
2024-10-27,PMT-00686,NEFT5005,,123509.42,Payment National Weighbridge
2024-10-30,PMT-00844,NEFT5163,,126681.26,Payment Lakshmi Industrial Stores
2024-10-30,RCT-00896,UTR5215,339260.62,,Receipt Customer 021 Retail
2024-11-01,PMT-00739,NEFT5058,,71884.42,Payment Pioneer Plastics
2024-11-01,PMT-00791,NEFT5110,,79414.00,Payment Prakash Machinery
2024-11-01,RCT-01102,UTR5421,345843.84,,Receipt Customer 010 Retail
2024-11-02,RCT-00962,UTR5281,65799.16,,Receipt Customer 002 Retail
2024-11-05,PMT-00862,NEFT5181,,191411.34,Payment Pioneer Plastics
2024-11-05,RCT-00972,UTR5291,180528.20,,Receipt Customer 007 Retail
2024-11-07,RCT-01066,UTR5385,247409.42,,Receipt Customer 001 Retail
2024-11-08,RCT-01019,UTR5338,227649.14,,Receipt Customer 023 Retail
2024-11-08,RCT-01069,UTR5388,340837.10,,Receipt Customer 025 Retail
2024-11-09,RCT-00899,UTR5218,254778.52,,Receipt Customer 024 Retail
2024-11-09,RCT-00991,UTR5310,234702.00,,Receipt Customer 003 Retail
2024-11-09,RCT-01018,UTR5337,129010.58,,Receipt Customer 011 Retail
2024-11-09,RCT-01071,UTR5390,212722.14,,Receipt Customer 029 Retail
2024-11-10,PMT-00718,NEFT5037,,24205.34,Payment Silverline Pipes
2024-11-10,PMT-00743,NEFT5062,,169858.64,Payment Universal Bearings
2024-11-10,PMT-00799,NEFT5118,,128065.40,Payment Falcon Security Services
2024-11-10,RCT-00971,UTR5290,272319.22,,Receipt Customer 006 Retail
2024-11-13,RCT-00974,UTR5293,404331.72,,Receipt Customer 010 Retail
2024-11-13,RCT-01093,UTR5412,147505.90,,Receipt Customer 028 Retail
2024-11-15,RCT-01040,UTR5359,432108.92,,Receipt Customer 004 Retail
2024-11-15,RCT-01091,UTR5410,27342.96,,Receipt Customer 009 Retail
2024-11-16,PMT-00769,NEFT5088,,210389.28,Payment Universal Bearings
2024-11-16,RCT-00987,UTR5306,42134.26,,Receipt Customer 001 Retail
2024-11-17,RCT-00931,UTR5250,416151.78,,Receipt Customer 020 Retail
2024-11-18,PMT-00726,NEFT5045,,23464.30,Payment Quality Fasteners
2024-11-19,RCT-00990,UTR5309,226646.14,,Receipt Customer 012 Retail
2024-11-19,RCT-01014,UTR5333,327660.04,,Receipt Customer 011 Retail
2024-11-19,RCT-01075,UTR5394,305275.44,,Receipt Customer 002 Retail
2024-11-20,RCT-00905,UTR5224,144571.24,,Receipt Customer 014 Retail
2024-11-20,RCT-00929,UTR5248,392603.70,,Receipt Customer 019 Retail
2024-11-20,RCT-00934,UTR5253,410491.32,,Receipt Customer 025 Retail
2024-11-21,RCT-00994,UTR5313,323808.52,,Receipt Customer 013 Retail
2024-11-22,PMT-00685,NEFT5004,,220514.86,Payment Omkar Engineering
2024-11-22,PMT-00846,NEFT5165,,249289.16,Payment Sunrise Solvents
2024-11-22,PMT-00859,NEFT5178,,244374.46,Payment Omkar Engineering
2024-11-22,RCT-00894,UTR5213,402175.86,,Receipt Customer 015 Retail
2024-11-23,PMT-00795,NEFT5114,,158360.72,Payment Royal Stationers
2024-11-23,PMT-00832,NEFT5151,,12995.34,Payment Falcon Security Services
2024-11-23,PMT-00836,NEFT5155,,111072.22,Payment Omkar Engineering
2024-11-23,RCT-00943,UTR5262,266963.20,,Receipt Customer 027 Retail
2024-11-23,RCT-01017,UTR5336,67524.32,,Receipt Customer 019 Retail
2024-11-23,RCT-01131,UTR5450,331063.16,,Receipt Customer 001 Retail
2024-11-24,PMT-00694,NEFT5013,,103792.80,Payment Universal Bearings
2024-11-24,RCT-01140,UTR5459,324466.96,,Receipt Customer 012 Retail
2024-11-25,PMT-00725,NEFT5044,,63520.58,Payment Jyoti Electrodes
2024-11-27,RCT-00885,UTR5204,141515.04,,Receipt Customer 008 Retail
2024-11-27,RCT-01127,UTR5446,76849.86,,Receipt Customer 005 Retail
2024-11-28,PMT-00692,NEFT5011,,86036.16,Payment Crescent Ceramics
2024-11-28,PMT-00804,NEFT5123,,233499.58,Payment Yamuna Enterprises
2024-11-29,RCT-00893,UTR5212,436928.04,,Receipt Customer 010 Retail
2024-11-30,PMT-00780,NEFT5099,,141300.28,Payment Xpress Couriers
2024-11-30,PMT-00861,NEFT5180,,57925.02,Payment Quality Fasteners
2024-11-30,RCT-00904,UTR5223,284306.84,,Receipt Customer 028 Retail
2024-11-30,RCT-01020,UTR5339,245659.48,,Receipt Customer 014 Retail
2024-12-01,PMT-00789,NEFT5108,,187197.56,Payment Eastern Electricals
2024-12-02,PMT-00746,NEFT5065,,207249.30,Payment Xpress Couriers
2024-12-03,RCT-00890,UTR5209,155472.08,,Receipt Customer 009 Retail
2024-12-05,PMT-00806,NEFT5125,,181714.10,Payment Silverline Pipes
2024-12-06,RCT-00953,UTR5272,98938.28,,Receipt Customer 007 Retail
2024-12-06,RCT-01124,UTR5443,388081.94,,Receipt Customer 018 Retail
2024-12-08,PMT-00741,NEFT5060,,149418.68,Payment Venus Adhesives
2024-12-08,PMT-00828,NEFT5147,,81680.78,Payment Green Valley Agro
2024-12-09,PMT-00801,NEFT5120,,141039.50,Payment Silverline Pipes
2024-12-09,PMT-00857,NEFT5176,,20111.92,Payment Chennai Polymers Pvt Ltd
2024-12-11,PMT-00687,NEFT5006,,222381.62,Payment Balaji Packaging Co
2024-12-11,PMT-00817,NEFT5136,,94463.72,Payment Trident Tools Ltd
2024-12-11,PMT-00838,NEFT5157,,62079.80,Payment Imperial Paints
2024-12-13,RCT-01082,UTR5401,195553.14,,Receipt Customer 025 Retail
2024-12-14,RCT-00954,UTR5273,91892.50,,Receipt Customer 018 Retail
2024-12-16,RCT-01083,UTR5402,261740.52,,Receipt Customer 001 Retail
2024-12-17,PMT-00839,NEFT5158,,185694.24,Payment Trident Tools Ltd
2024-12-17,RCT-00979,UTR5298,431410.36,,Receipt Customer 019 Retail
2024-12-20,PMT-00855,NEFT5174,,282445.98,Payment Xpress Couriers
2024-12-20,RCT-01090,UTR5409,232926.10,,Receipt Customer 026 Retail
2024-12-21,RCT-00910,UTR5229,10017.02,,Receipt Customer 030 Retail
2024-12-21,RCT-00920,UTR5239,117238.90,,Receipt Customer 009 Retail
2024-12-22,RCT-00900,UTR5219,53779.68,,Receipt Customer 002 Retail
2024-12-24,PMT-00796,NEFT5115,,274091.58,Payment Fortune Chemicals
2024-12-24,PMT-00853,NEFT5172,,98886.36,Payment Green Valley Agro
2024-12-28,RCT-00878,UTR5197,299620.88,,Receipt Customer 020 Retail
2024-12-28,RCT-00888,UTR5207,355263.78,,Receipt Customer 018 Retail
2024-12-28,RCT-01067,UTR5386,64748.96,,Receipt Customer 014 Retail
2024-12-30,PMT-00712,NEFT5031,,252361.88,Payment Imperial Paints
2024-12-31,RCT-00877,UTR5196,343907.46,,Receipt Customer 002 Retail
2024-12-31,RCT-01051,UTR5370,63743.60,,Receipt Customer 022 Retail
2025-01-02,RCT-01047,UTR5366,131535.78,,Receipt Customer 010 Retail
2025-01-02,RCT-01055,UTR5374,19923.12,,Receipt Customer 004 Retail
2025-01-03,PMT-00772,NEFT5091,,150497.20,Payment Xpress Couriers
2025-01-04,PMT-00697,NEFT5016,,81257.16,Payment Jyoti Electrodes
2025-01-04,RCT-01030,UTR5349,408288.26,,Receipt Customer 003 Retail
2025-01-05,RCT-01026,UTR5345,57730.32,,Receipt Customer 007 Retail
2025-01-07,RCT-01063,UTR5382,110373.66,,Receipt Customer 015 Retail
2025-01-08,RCT-00965,UTR5284,411903.78,,Receipt Customer 023 Retail
2025-01-09,PMT-00874,NEFT5193,,85351.76,Payment Omkar Engineering
